"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSCHAG00000009073"," fam117aa","ENSCHAG00000009073",NA,"protein_coding","Atlantic herring",1,21.192625,"family with sequence similarity 117 member Aa [Source:ZFIN;Acc:ZDB-GENE-110606-4]",46.34,3,11128,1093.5,2418.5,733,999,7
"ENSCHAG00000009114"," rundc3aa","ENSCHAG00000009114",105898847,"protein_coding","Atlantic herring",1,21.204469,"RUN domain-containing protein 3A-like [Source:NCBI gene;Acc:105898847]",45.06,2,16252,1269,1630,51,308,11
"ENSCHAG00000009175"," rnf113a","ENSCHAG00000009175",105898809,"protein_coding","Atlantic herring",1,21.22069,"ring finger protein 113A [Source:NCBI gene;Acc:105898809]",41.37,2,3214,975,1769,669,123,9.5
"ENSCHAG00000009246"," strada","ENSCHAG00000009246",NA,"protein_coding","Atlantic herring",1,21.223888,"STE20 related adaptor alpha [Source:ZFIN;Acc:ZDB-GENE-030131-6482]",44.51,4,10285,1185,2247,57,1061,10
"ENSCHAG00000009427"," ddx42","ENSCHAG00000009427",105898812,"protein_coding","Atlantic herring",1,21.23601,"DEAD-box helicase 42 [Source:NCBI gene;Acc:105898812]",47.66,5,8833,2706,2732,10,954,17
"ENSCHAG00000009572"," map3k3","ENSCHAG00000009572",NA,"protein_coding","Atlantic herring",1,21.265739,"mitogen-activated protein kinase kinase kinase 3 [Source:ZFIN;Acc:ZDB-GENE-070910-1]",47.34,3,22157,1819.5,5784.5,310,3653,15
"ENSCHAG00000010459"," kcnh6a","ENSCHAG00000010459",NA,"protein_coding","Atlantic herring",1,21.313932,"potassium voltage-gated channel, subfamily H (eag-related), member 6a [Source:ZFIN;Acc:ZDB-GENE-040702-5]",46.4,5,31010,3504,4210,705,NA,17
"ENSCHAG00000010570"," dcaf7","ENSCHAG00000010570",105898766,"protein_coding","Atlantic herring",1,21.347619,"DDB1- and CUL4-associated factor 7-like [Source:NCBI gene;Acc:105898766]",46.59,2,4777,1050,2167,NA,1116,7.5
"ENSCHAG00000010602"," ccdc47","ENSCHAG00000010602",105898735,"protein_coding","Atlantic herring",1,21.354464,"coiled-coil domain containing 47 [Source:NCBI gene;Acc:105898735]",46.13,4,5470,1464,1812,7,339,12.5
"ENSCHAG00000010747"," selenow2a","ENSCHAG00000010747",NA,"protein_coding","Atlantic herring",1,21.37287,"selenoprotein W, 2a [Source:ZFIN;Acc:ZDB-GENE-030428-1]",41.35,1,785,243,243,NA,NA,4
"ENSCHAG00000010815"," slc4a1a","ENSCHAG00000010815",105898733,"protein_coding","Atlantic herring",1,21.385213,"solute carrier family 4 member 1 (Diego blood group) [Source:NCBI gene;Acc:105898733]",44.05,6,7992,2694,3262,30,567,16
"ENSCHAG00000012748"," atxn7l3","ENSCHAG00000012748",NA,"protein_coding","Atlantic herring",1,21.406859,"ataxin 7-like 3 [Source:NCBI gene;Acc:368510]",43.42,2,7772,828,828,NA,NA,8
"ENSCHAG00000012893"," asb16","ENSCHAG00000012893",105898801,"protein_coding","Atlantic herring",1,21.4187,"ankyrin repeat and SOCS box containing 16 [Source:NCBI gene;Acc:105898801]",47.13,1,5995,1410,3119,65.5,576,9
"ENSCHAG00000012905"," si:dkey-260c8.8","ENSCHAG00000012905",NA,"protein_coding","Atlantic herring",1,21.424951,"si:dkey-260c8.8 [Source:ZFIN;Acc:ZDB-GENE-030131-5375]",46.17,1,7586,1368,2318,263,NA,9
"ENSCHAG00000014766"," isg15","ENSCHAG00000014766",NA,"protein_coding","Atlantic herring",1,32.489557,"ISG15 ubiquitin like modifier [Source:ZFIN;Acc:ZDB-GENE-021211-1]",43.24,1,850,405,405,NA,NA,2
"ENSCHAG00000014779"," isg15","ENSCHAG00000014779",NA,"protein_coding","Atlantic herring",1,32.493862,"ISG15 ubiquitin like modifier [Source:ZFIN;Acc:ZDB-GENE-021211-1]",43.5,1,815,357,357,NA,NA,2
"ENSCHAG00000014788"," isg15","ENSCHAG00000014788",NA,"protein_coding","Atlantic herring",1,32.499206,"ISG15 ubiquitin like modifier [Source:ZFIN;Acc:ZDB-GENE-021211-1]",42.89,1,857,366,366,NA,NA,2
"ENSCHAG00000014815"," slc25a17","ENSCHAG00000014815",NA,"protein_coding","Atlantic herring",1,32.51217,"solute carrier family 25 member 17 [Source:ZFIN;Acc:ZDB-GENE-070620-4]",42.09,2,5848,547.5,933,383,386,5.5
"ENSCHAG00000002272"," tns1b","ENSCHAG00000002272",NA,"protein_coding","Atlantic herring",2,28.455036,"tensin 1b [Source:ZFIN;Acc:ZDB-GENE-030131-6933]",47.99,9,161456,5649,7151,576.5,999,34
"ENSCHAG00000003727"," igfbp5b","ENSCHAG00000003727",105908012,"protein_coding","Atlantic herring",2,28.79727,"insulin like growth factor binding protein 5 [Source:NCBI gene;Acc:105908012]",42.32,1,12934,804,5173,499,3868,4
"ENSCHAG00000002328"," eps8l2","ENSCHAG00000002328",NA,"protein_coding","Atlantic herring",3,13.701062,"EPS8 like 2 [Source:ZFIN;Acc:ZDB-GENE-131121-340]",45.19,3,24376,1959,2518,NA,576,15
"ENSCHAG00000003567"," fads2","ENSCHAG00000003567",105904229,"protein_coding","Atlantic herring",3,13.727004,"fatty acid desaturase 2 [Source:NCBI gene;Acc:105904229]",45.32,10,13973,1194,1909,427,603,11.5
"ENSCHAG00000005872"," LRRC10B","ENSCHAG00000005872",NA,"protein_coding","Atlantic herring",3,13.750597,"leucine rich repeat containing 10B [Source:HGNC Symbol;Acc:HGNC:37215]",47.05,1,9639,1107,1109,NA,1,2
"ENSCHAG00000005897"," syt7a","ENSCHAG00000005897",NA,"protein_coding","Atlantic herring",3,13.805365,"synaptotagmin VIIa [Source:ZFIN;Acc:ZDB-GENE-090601-5]",47.49,1,108529,1050,1817,NA,766,7
"ENSCHAG00000000584"," megf11","ENSCHAG00000000584",NA,"protein_coding","Atlantic herring",3,17.702013,"multiple EGF-like-domains 11 [Source:ZFIN;Acc:ZDB-GENE-060503-252]",48.18,6,129230,2961,2961,478,52,21.5
"ENSCHAG00000002433"," rab11a","ENSCHAG00000002433",105892497,"protein_coding","Atlantic herring",3,17.833458,"RAB11A, member RAS oncogene family [Source:NCBI gene;Acc:105892497]",44.88,7,12890,630,4521,395,3890,5
"ENSCHAG00000003270"," dennd4a","ENSCHAG00000003270",NA,"protein_coding","Atlantic herring",3,17.848662,"DENN/MADD domain containing 4A [Source:ZFIN;Acc:ZDB-GENE-060503-285]",49.98,8,53779,4965,5599,284.5,999,28
