"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSCHAG00000008546"," nxph3","ENSCHAG00000008546",NA,"protein_coding","Atlantic herring",1,20.966188,"neurexophilin 3 [Source:HGNC Symbol;Acc:HGNC:8077]",46.62,1,18878,813,1571,755,1,2
"ENSCHAG00000008557"," spop","ENSCHAG00000008557",105898864,"protein_coding","Atlantic herring",1,21.06258,"speckle type BTB/POZ protein [Source:NCBI gene;Acc:105898864]",45.85,5,80083,1125,2666,193,1124,11
"ENSCHAG00000008733"," slc35b1","ENSCHAG00000008733",NA,"protein_coding","Atlantic herring",1,21.183442,"solute carrier family 35 member B1 [Source:NCBI gene;Acc:447844]",42.92,9,8024,1029,2217,628,1187,10
"ENSCHAG00000009073"," fam117aa","ENSCHAG00000009073",NA,"protein_coding","Atlantic herring",1,21.192625,"family with sequence similarity 117 member Aa [Source:ZFIN;Acc:ZDB-GENE-110606-4]",46.34,3,11128,1093.5,2418.5,733,999,7
"ENSCHAG00000017256"," hdac3","ENSCHAG00000017256",105898498,"protein_coding","Atlantic herring",2,0.279403,"histone deacetylase 3 [Source:NCBI gene;Acc:105898498]",47.11,1,3981,1287,3609,839,1481,2
"ENSCHAG00000017274"," RSPH1","ENSCHAG00000017274",NA,"protein_coding","Atlantic herring",2,0.284566,"radial spoke head component 1 [Source:HGNC Symbol;Acc:HGNC:12371]",41.98,1,3879,954,1842,197,689,7
"ENSCHAG00000000887"," dhrs12","ENSCHAG00000000887",NA,"protein_coding","Atlantic herring",2,0.384437,"dehydrogenase/reductase (SDR family) member 12 [Source:ZFIN;Acc:ZDB-GENE-060929-1134]",45.99,2,12437,1044,2572,NA,1527,9
"ENSCHAG00000001113"," wdfy2","ENSCHAG00000001113",105905178,"protein_coding","Atlantic herring",2,0.39762,"WD repeat and FYVE domain-containing protein 2-like [Source:NCBI gene;Acc:105905178]",45.5,5,31366,1233,1233,NA,75,11
"ENSCHAG00000001466"," FAM124A","ENSCHAG00000001466",NA,"protein_coding","Atlantic herring",2,0.446821,"si:dkeyp-74a11.1 [Source:ZFIN;Acc:ZDB-GENE-081104-474]",47.91,2,13340,1464,2782.5,206.5,1110,3
"ENSCHAG00000017978"," tfcp2l1","ENSCHAG00000017978",NA,"protein_coding","Atlantic herring",2,10.45515,"transcription factor CP2-like 1 [Source:ZFIN;Acc:ZDB-GENE-040704-58]",42.54,1,10890,1362,1362,NA,NA,13
"ENSCHAG00000018184"," clasp1a","ENSCHAG00000018184",NA,"protein_coding","Atlantic herring",2,10.473804,"cytoplasmic linker associated protein 1a [Source:ZFIN;Acc:ZDB-GENE-081104-520]",46.26,10,178111,4374,4925,550,NA,31
"ENSCHAG00000002100"," kdm6a","ENSCHAG00000002100",NA,"protein_coding","Atlantic herring",2,22.994728,"lysine (K)-specific demethylase 6A [Source:ZFIN;Acc:ZDB-GENE-081105-56]",44.62,8,68050,4137,4597,NA,459,30
"ENSCHAG00000022620"," dipk2b","ENSCHAG00000022620",NA,"protein_coding","Atlantic herring",2,23.064604,"divergent protein kinase domain 2B [Source:ZFIN;Acc:ZDB-GENE-110411-223]",45.64,1,6112,1377,1691,NA,313,6
"ENSCHAG00000022629"," ccdc80","ENSCHAG00000022629",105908988,"protein_coding","Atlantic herring",2,23.219658,"coiled-coil domain-containing protein 80-like [Source:NCBI gene;Acc:105908988]",46.7,1,15456,2646,3954,977,329,7
"ENSCHAG00000022633"," slc35a5","ENSCHAG00000022633",105908995,"protein_coding","Atlantic herring",2,23.236283,"solute carrier family 35 member A5 [Source:NCBI gene;Acc:105908995]",47.15,2,5363,1419,2424.5,66,937.5,5.5
"ENSCHAG00000022668"," f5","ENSCHAG00000022668",NA,"protein_coding","Atlantic herring",2,23.24341,"coagulation factor V [Source:ZFIN;Acc:ZDB-GENE-030131-5531]",41.9,10,17034,4167,4302,120,162,24.5
