"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSCHAG00000021323"," rbfox1","ENSCHAG00000021323",NA,"protein_coding","Atlantic herring",1,6.198549,"RNA binding fox-1 homolog 1 [Source:NCBI gene;Acc:449554]",45.95,10,231366,1056,3213,341.5,1986,11.5
"ENSCHAG00000021625"," TMEM114","ENSCHAG00000021625",NA,"protein_coding","Atlantic herring",1,6.455954,"transmembrane protein 114 [Source:HGNC Symbol;Acc:HGNC:33227]",40.14,1,13276,657,2130,93,1378,4
"ENSCHAG00000021642"," mettl22","ENSCHAG00000021642",105899924,"protein_coding","Atlantic herring",1,6.482758,"methyltransferase like 22 [Source:NCBI gene;Acc:105899924]",43.36,1,15715,1089,1810,80,481,12
"ENSCHAG00000021673"," abat","ENSCHAG00000021673",105899982,"protein_coding","Atlantic herring",1,6.499035,"4-aminobutyrate aminotransferase [Source:NCBI gene;Acc:105899982]",44.58,8,29122,1473,3485,153.5,2011,14
"ENSCHAG00000011753"," si:ch211-106h11.1","ENSCHAG00000011753",NA,"protein_coding","Atlantic herring",1,24.403803,"si:ch211-106h11.1 [Source:ZFIN;Acc:ZDB-GENE-061009-2]",49.56,1,3149,1623,2005,209,171,3
"ENSCHAG00000011909"," si:ch211-106h11.3","ENSCHAG00000011909",NA,"protein_coding","Atlantic herring",1,24.415013,"si:ch211-106h11.3 [Source:ZFIN;Acc:ZDB-GENE-050208-296]",47.24,1,7341,1260,4106,337.5,2168,5
"ENSCHAG00000011915"," txn2","ENSCHAG00000011915",105898830,"protein_coding","Atlantic herring",1,24.43044,"thioredoxin 2 [Source:NCBI gene;Acc:105898830]",45.03,1,2828,507,1500,NA,992,3
"ENSCHAG00000012446"," myh9b","ENSCHAG00000012446",105898721,"protein_coding","Atlantic herring",1,24.436964,"myosin heavy chain 9 [Source:NCBI gene;Acc:105898721]",46.6,10,34207,5883,8572,95,2073,39
"ENSCHAG00000026397"," slc25a38a","ENSCHAG00000026397",NA,"protein_coding","Atlantic herring",1,24.475327,"solute carrier family 25 member 38a [Source:NCBI gene;Acc:767662]",43.92,1,3064,864,1850,NA,985,7
"ENSCHAG00000026405"," junbb","ENSCHAG00000026405",105898846,"protein_coding","Atlantic herring",1,24.495172,"transcription factor jun-B-like [Source:NCBI gene;Acc:105898846]",54.78,1,983,984,984,NA,NA,1
"ENSCHAG00000026408"," zgc:109949","ENSCHAG00000026408",NA,"protein_coding","Atlantic herring",1,24.507166,"zgc:109949 [Source:ZFIN;Acc:ZDB-GENE-050522-166]",43.62,1,11070,870,2625,345,1062,6
"ENSCHAG00000026419"," mast1b","ENSCHAG00000026419",NA,"protein_coding","Atlantic herring",1,24.546156,"microtubule associated serine/threonine kinase 1b [Source:ZFIN;Acc:ZDB-GENE-131025-2]",48.96,2,19542,4740,4740,NA,NA,27
"ENSCHAG00000026457"," atg4db","ENSCHAG00000026457",NA,"protein_coding","Atlantic herring",1,24.569298,"autophagy related 4D, cysteine peptidase b [Source:ZFIN;Acc:ZDB-GENE-131025-1]",46.74,1,5423,1314,1314,NA,NA,9
"ENSCHAG00000026467"," smarca4a","ENSCHAG00000026467",NA,"protein_coding","Atlantic herring",1,24.582125,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4a [Source:ZFIN;Acc:ZDB-GENE-030605-1]",48.42,10,15740,4629,4677,47,240,33
"ENSCHAG00000026568"," ldlra","ENSCHAG00000026568",105898779,"protein_coding","Atlantic herring",1,24.602903,"low-density lipoprotein receptor-like [Source:NCBI gene;Acc:105898779]",45,10,13925,2466,4674,355,1990,17.5
"ENSCHAG00000026668"," kri1","ENSCHAG00000026668",105898780,"protein_coding","Atlantic herring",1,24.626626,"KRI1 homolog [Source:NCBI gene;Acc:105898780]",43.2,2,7693,2382,3237,162,691,18
"ENSCHAG00000026674"," MOSMO","ENSCHAG00000026674",105898706,"protein_coding","Atlantic herring",1,24.635133,"uncharacterized protein C16orf52 homolog B [Source:NCBI gene;Acc:105898706]",45.4,2,14057,523.5,613.5,NA,89,3
"ENSCHAG00000026689"," sdr42e2","ENSCHAG00000026689",NA,"protein_coding","Atlantic herring",1,24.671344,"short chain dehydrogenase/reductase family 42E, member 2 [Source:ZFIN;Acc:ZDB-GENE-101203-3]",44.57,1,11304,1011,1011,NA,NA,11
"ENSCHAG00000026697"," cdr2a","ENSCHAG00000026697",NA,"protein_coding","Atlantic herring",1,24.687228,"cerebellar degeneration-related protein 2a [Source:ZFIN;Acc:ZDB-GENE-101203-5]",45.59,1,6919,1476,2237,254,505,5
"ENSCHAG00000026699"," zgc:171489","ENSCHAG00000026699",NA,"protein_coding","Atlantic herring",1,24.694173,"zgc:171489 [Source:ZFIN;Acc:ZDB-GENE-080303-25]",41.38,1,5565,1476,3237,214,1545,6
"ENSCHAG00000014788"," isg15","ENSCHAG00000014788",NA,"protein_coding","Atlantic herring",1,32.499206,"ISG15 ubiquitin like modifier [Source:ZFIN;Acc:ZDB-GENE-021211-1]",42.89,1,857,366,366,NA,NA,2
"ENSCHAG00000014815"," slc25a17","ENSCHAG00000014815",NA,"protein_coding","Atlantic herring",1,32.51217,"solute carrier family 25 member 17 [Source:ZFIN;Acc:ZDB-GENE-070620-4]",42.09,2,5848,547.5,933,383,386,5.5
"ENSCHAG00000005795"," nrp2b","ENSCHAG00000005795",NA,"protein_coding","Atlantic herring",2,7.066012,"neuropilin 2b [Source:ZFIN;Acc:ZDB-GENE-040611-3]",48.5,2,90598,2721,2931,NA,209,16
"ENSCHAG00000023735"," smad6b","ENSCHAG00000023735",NA,"protein_coding","Atlantic herring",3,17.490261,"SMAD family member 6b [Source:ZFIN;Acc:ZDB-GENE-050419-198]",47.84,2,41175,1482,1983,NA,500,4.5
"ENSCHAG00000023757"," rpl4","ENSCHAG00000023757",105892495,"protein_coding","Atlantic herring",3,17.540126,"ribosomal protein L4 [Source:NCBI gene;Acc:105892495]",45,1,5339,1137,1403,213,51,10
"ENSCHAG00000000117"," zwilch","ENSCHAG00000000117",NA,"protein_coding","Atlantic herring",3,17.545561,"zwilch kinetochore protein [Source:NCBI gene;Acc:336439]",42.71,1,12491,1794,2249,325,63.5,19
"ENSCHAG00000000142"," lctlb","ENSCHAG00000000142",105892386,"protein_coding","Atlantic herring",3,17.553744,"lactase-like protein [Source:NCBI gene;Acc:105892386]",43.71,2,12670,1732.5,1732.5,NA,NA,13.5
"ENSCHAG00000000160"," snapc5","ENSCHAG00000000160",105892507,"protein_coding","Atlantic herring",3,17.569062,"small nuclear RNA activating complex polypeptide 5 [Source:NCBI gene;Acc:105892507]",46.44,1,3554,369,1477,52,673,5
"ENSCHAG00000000220"," map2k1","ENSCHAG00000000220",NA,"protein_coding","Atlantic herring",3,17.633231,"mitogen-activated protein kinase kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2759]",48.07,3,20398,1185,1546,107.5,143,10
"ENSCHAG00000000584"," megf11","ENSCHAG00000000584",NA,"protein_coding","Atlantic herring",3,17.702013,"multiple EGF-like-domains 11 [Source:ZFIN;Acc:ZDB-GENE-060503-252]",48.18,6,129230,2961,2961,478,52,21.5
