"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSCHAG00000014788"," isg15","ENSCHAG00000014788",NA,"protein_coding","Atlantic herring",1,32.499206,"ISG15 ubiquitin like modifier [Source:ZFIN;Acc:ZDB-GENE-021211-1]",42.89,1,857,366,366,NA,NA,2
"ENSCHAG00000014815"," slc25a17","ENSCHAG00000014815",NA,"protein_coding","Atlantic herring",1,32.51217,"solute carrier family 25 member 17 [Source:ZFIN;Acc:ZDB-GENE-070620-4]",42.09,2,5848,547.5,933,383,386,5.5
"ENSCHAG00000007904"," slc28a1","ENSCHAG00000007904",NA,"protein_coding","Atlantic herring",3,8.308247,"solute carrier family 28 member 1 [Source:ZFIN;Acc:ZDB-GENE-050419-117]",39.85,5,7967,1809,2736,147,958,14
"ENSCHAG00000008075"," sec11a","ENSCHAG00000008075",105905608,"protein_coding","Atlantic herring",3,8.338805,"SEC11 homolog A, signal peptidase complex subunit [Source:NCBI gene;Acc:105905608]",41.76,3,1922,540,540,NA,NA,6
"ENSCHAG00000008164"," kti12","ENSCHAG00000008164",105905570,"protein_coding","Atlantic herring",3,8.34556,"KTI12 chromatin associated homolog [Source:NCBI gene;Acc:105905570]",39.06,4,4036,831,831,NA,543,8.5
"ENSCHAG00000008452"," ch25hl1.1","ENSCHAG00000008452",105905550,"protein_coding","Atlantic herring",3,8.356885,"cholesterol 25-hydroxylase-like protein 1, member 1 [Source:NCBI gene;Acc:105905549]",52.69,1,1468,954,954,NA,NA,2
"ENSCHAG00000008473"," ch25hl1.1","ENSCHAG00000008473",105905550,"protein_coding","Atlantic herring",3,8.36521,"cholesterol 25-hydroxylase-like protein 1, member 1 [Source:NCBI gene;Acc:105903249]",57.47,1,1050,909,909,NA,NA,2
"ENSCHAG00000008501"," si:dkey-24l11.2","ENSCHAG00000008501",105905609,"protein_coding","Atlantic herring",3,8.367545,"uncharacterized LOC105905609 [Source:NCBI gene;Acc:105905609]",46.47,2,6177,2074.5,2207.5,11,120,11
"ENSCHAG00000008524"," ch25hl1.2","ENSCHAG00000008524",105905548,"protein_coding","Atlantic herring",3,8.377507,"cholesterol 25-hydroxylase-like protein 1, member 2 [Source:NCBI gene;Acc:105905548]",45.49,1,1483,837,837,NA,NA,4
"ENSCHAG00000008545"," tspan3a","ENSCHAG00000008545",105905604,"protein_coding","Atlantic herring",3,8.379892,"tetraspanin 3 [Source:NCBI gene;Acc:105905604]",43.59,1,6994,762,762,NA,NA,7
"ENSCHAG00000008609"," pstpip1a","ENSCHAG00000008609",NA,"protein_coding","Atlantic herring",3,8.389778,"proline-serine-threonine phosphatase interacting protein 1a [Source:ZFIN;Acc:ZDB-GENE-050419-251]",40.61,1,8661,1254,1254,NA,NA,15
"ENSCHAG00000008622"," rcn2","ENSCHAG00000008622",105905563,"protein_coding","Atlantic herring",3,8.39957,"reticulocalbin 2 [Source:NCBI gene;Acc:105905563]",40.28,1,3177,936,1020,41,NA,8
"ENSCHAG00000008671"," scaper","ENSCHAG00000008671",NA,"protein_coding","Atlantic herring",3,8.402811,"S-phase cyclin A-associated protein in the ER [Source:ZFIN;Acc:ZDB-GENE-060303-5]",47.86,5,106655,4452,6472,219,2019,30
"ENSCHAG00000009849"," isl2a","ENSCHAG00000009849",NA,"protein_coding","Atlantic herring",3,8.512776,"ISL LIM homeobox 2a [Source:NCBI gene;Acc:30157]",40.84,1,3985,1086,1390,172,130,6
"ENSCHAG00000009901"," etfa","ENSCHAG00000009901",NA,"protein_coding","Atlantic herring",3,8.5193,"electron transfer flavoprotein subunit alpha [Source:ZFIN;Acc:ZDB-GENE-030131-4449]",43.06,8,14121,1017,1048.5,127,508,11
"ENSCHAG00000011075"," tmem266","ENSCHAG00000011075",NA,"protein_coding","Atlantic herring",3,8.534883,"transmembrane protein 266 [Source:ZFIN;Acc:ZDB-GENE-070112-2382]",46.46,2,41353,1663.5,1663.5,NA,NA,9.5
"ENSCHAG00000011199"," lactb","ENSCHAG00000011199",NA,"protein_coding","Atlantic herring",3,8.599125,"lactamase, beta [Source:ZFIN;Acc:ZDB-GENE-020111-1]",44.1,1,4926,1653,3293,140,1498,6
"ENSCHAG00000016223"," ntrk3a","ENSCHAG00000016223",105892129,"protein_coding","Atlantic herring",3,11.714504,"NT-3 growth factor receptor-like [Source:NCBI gene;Acc:105892129]",44.84,5,182379,2163,3909,45,999,16
"ENSCHAG00000016499"," agbl1","ENSCHAG00000016499",105892127,"protein_coding","Atlantic herring",3,11.96119,"ATP/GTP binding protein like 1 [Source:NCBI gene;Acc:105892127]",43.13,3,102067,2862,3926,70,1161,21
"ENSCHAG00000023342"," morf4l1","ENSCHAG00000023342",NA,"protein_coding","Atlantic herring",3,17.075467,"mortality factor 4 like 1 [Source:ZFIN;Acc:ZDB-GENE-040718-348]",43.04,5,18561,909,1300,NA,390,12
"ENSCHAG00000023614"," rxfp3.3a3","ENSCHAG00000023614",105892383,"protein_coding","Atlantic herring",3,17.101309,"relaxin-3 receptor 1-like [Source:NCBI gene;Acc:105892383]",43.78,1,1879,1059,1059,NA,NA,2
"ENSCHAG00000023617"," pias1b","ENSCHAG00000023617",NA,"protein_coding","Atlantic herring",3,17.108804,"protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]",46.79,6,39220,1920,2028,104,670,13
