"seqnames","source","type","start","end","score","strand","phase","attributes","gene_description","gene_name"
2,"ensembl","gene",15770067,15790033,".","-",".","ID=gene:ENSCHAG00000015641;Name=ahr1b;biotype=protein_coding;description=aryl hydrocarbon receptor 1b [Source:ZFIN%3BAcc:ZDB-GENE-050922-1];gene_id=ENSCHAG00000015641;logic_name=ensembl;version=1","aryl hydrocarbon receptor 1b [Source:ZFIN%3BAcc:ZDB-GENE-050922-1]","ahr1b"
22,"ensembl","gene",18844732,18872212,".","+",".","ID=gene:ENSCHAG00000014574;Name=ahrrb;biotype=protein_coding;description=aryl-hydrocarbon receptor repressor b [Source:ZFIN%3BAcc:ZDB-GENE-051018-2];gene_id=ENSCHAG00000014574;logic_name=ensembl;version=1","aryl-hydrocarbon receptor repressor b [Source:ZFIN%3BAcc:ZDB-GENE-051018-2]","ahrrb"
20,"ensembl","gene",12282921,12293143,".","+",".","ID=gene:ENSCHAG00000005271;Name=aipl2;biotype=protein_coding;description=aryl hydrocarbon receptor interacting protein like 2 [Source:ZFIN%3BAcc:ZDB-GENE-141216-23];gene_id=ENSCHAG00000005271;logic_name=ensembl;version=1","aryl hydrocarbon receptor interacting protein like 2 [Source:ZFIN%3BAcc:ZDB-GENE-141216-23]","aipl2"
22,"ensembl","gene",21751751,21758253,".","+",".","ID=gene:ENSCHAG00000013063;Name=aip;biotype=protein_coding;description=aryl hydrocarbon receptor interacting protein [Source:ZFIN%3BAcc:ZDB-GENE-030131-6735];gene_id=ENSCHAG00000013063;logic_name=ensembl;version=1","aryl hydrocarbon receptor interacting protein [Source:ZFIN%3BAcc:ZDB-GENE-030131-6735]","aip"
9,"ensembl","gene",6790619,6796425,".","-",".","ID=gene:ENSCHAG00000001022;Name=aipl1;biotype=protein_coding;description=aryl hydrocarbon receptor interacting protein-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-131121-577];gene_id=ENSCHAG00000001022;logic_name=ensembl;version=1","aryl hydrocarbon receptor interacting protein-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-131121-577]","aipl1"
9,"ensembl","gene",15533897,15547436,".","-",".","ID=gene:ENSCHAG00000027156;Name=aldh3a1;biotype=protein_coding;description=fatty aldehyde dehydrogenase-like [Source:NCBI gene%3BAcc:105897198];gene_id=ENSCHAG00000027156;logic_name=ensembl;version=1","fatty aldehyde dehydrogenase-like [Source:NCBI gene%3BAcc:105897198]","aldh3a1"
11,"ensembl","gene",11554758,11569458,".","-",".","ID=gene:ENSCHAG00000006547;Name=arnt;biotype=protein_coding;description=aryl hydrocarbon receptor nuclear translocator-like [Source:NCBI gene%3BAcc:105912992];gene_id=ENSCHAG00000006547;logic_name=ensembl;version=1","aryl hydrocarbon receptor nuclear translocator-like [Source:NCBI gene%3BAcc:105912992]","arnt"
3,"ensembl","gene",2821762,2835685,".","-",".","ID=gene:ENSCHAG00000008334;Name=arntl1a;biotype=protein_coding;description=aryl hydrocarbon receptor nuclear translocator-like protein 1 [Source:NCBI gene%3BAcc:105895625];gene_id=ENSCHAG00000008334;logic_name=ensembl;version=1","aryl hydrocarbon receptor nuclear translocator-like protein 1 [Source:NCBI gene%3BAcc:105895625]","arntl1a"
3,"ensembl","gene",3750654,3768756,".","-",".","ID=gene:ENSCHAG00000019669;Name=arntl2;biotype=protein_coding;description=aryl hydrocarbon receptor nuclear translocator-like 2 [Source:ZFIN%3BAcc:ZDB-GENE-000509-2];gene_id=ENSCHAG00000019669;logic_name=ensembl;version=1","aryl hydrocarbon receptor nuclear translocator-like 2 [Source:ZFIN%3BAcc:ZDB-GENE-000509-2]","arntl2"
6,"ensembl","gene",30321788,30362555,".","-",".","ID=gene:ENSCHAG00000011050;Name=arnt2;biotype=protein_coding;description=aryl-hydrocarbon receptor nuclear translocator 2 [Source:NCBI gene%3BAcc:64277];gene_id=ENSCHAG00000011050;logic_name=ensembl;version=1","aryl-hydrocarbon receptor nuclear translocator 2 [Source:NCBI gene%3BAcc:64277]","arnt2"
