"chr","pos","AF","Effect","Putative_impact","Gene_name","Gene_ID","Feature type"
"chr1",24227,0.148,"3_prime_UTR_variant","MODIFIER","ENSCHAG00000000002","ENSCHAG00000000002","protein_coding"
"chr1",24456,0.135,"3_prime_UTR_variant","MODIFIER","ENSCHAG00000000002","ENSCHAG00000000002","protein_coding"
"chr1",24457,0.136,"3_prime_UTR_variant","MODIFIER","ENSCHAG00000000002","ENSCHAG00000000002","protein_coding"
"chr1",24484,0.129,"3_prime_UTR_variant","MODIFIER","ENSCHAG00000000002","ENSCHAG00000000002","protein_coding"
"chr1",28680,0.059,"downstream_gene_variant","MODIFIER","ENSCHAG00000000002","ENSCHAG00000000002","protein_coding"
"chr1",28680,0.059,"intergenic_region","MODIFIER","ENSCHAG00000000002-ENSCHAG00000000003","ENSCHAG00000000002-ENSCHAG00000000003",""
"chr1",29162,0.067,"downstream_gene_variant","MODIFIER","ENSCHAG00000000002","ENSCHAG00000000002","protein_coding"
"chr1",29162,0.067,"intergenic_region","MODIFIER","ENSCHAG00000000002-ENSCHAG00000000003","ENSCHAG00000000002-ENSCHAG00000000003",""
"chr1",29614,0.096,"downstream_gene_variant","MODIFIER","ENSCHAG00000000002","ENSCHAG00000000002","protein_coding"
"chr1",29614,0.096,"intergenic_region","MODIFIER","ENSCHAG00000000002-ENSCHAG00000000003","ENSCHAG00000000002-ENSCHAG00000000003",""
"chr1",31248,0.085,"intergenic_region","MODIFIER","ENSCHAG00000000002-ENSCHAG00000000003","ENSCHAG00000000002-ENSCHAG00000000003",""
"chr1",33679,0.08,"intergenic_region","MODIFIER","ENSCHAG00000000002-ENSCHAG00000000003","ENSCHAG00000000002-ENSCHAG00000000003",""
"chr1",54914,0.123,"splice_donor_variant&intron_variant","HIGH","ENSCHAG00000000003","ENSCHAG00000000003","protein_coding"
"chr1",60334,0.166,"intergenic_region","MODIFIER","ENSCHAG00000000003-ENSCHAG00000000004","ENSCHAG00000000003-ENSCHAG00000000004",""
"chr1",77901,0.112,"intergenic_region","MODIFIER","ENSCHAG00000000003-ENSCHAG00000000004","ENSCHAG00000000003-ENSCHAG00000000004",""
"chr1",99187,0.117,"intron_variant","MODIFIER","ENSCHAG00000000004","ENSCHAG00000000004","protein_coding"
"chr1",130785,0.176,"upstream_gene_variant","MODIFIER","ENSCHAG00000000006","ENSCHAG00000000006","pseudogene"
"chr1",130785,0.176,"intergenic_region","MODIFIER","ENSCHAG00000000006-ENSCHAG00000000007","ENSCHAG00000000006-ENSCHAG00000000007",""
"chr1",132446,0.105,"upstream_gene_variant","MODIFIER","ENSCHAG00000000006","ENSCHAG00000000006","pseudogene"
"chr1",132446,0.105,"intergenic_region","MODIFIER","ENSCHAG00000000006-ENSCHAG00000000007","ENSCHAG00000000006-ENSCHAG00000000007",""
"chr1",148289,0.054,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",148289,0.054,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",148289,0.054,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",148631,0.101,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",148631,0.101,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",148631,0.101,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",148831,0.998,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",148831,0.998,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",148831,0.998,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",148857,0.278,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",148857,0.278,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",148857,0.278,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149431,0.106,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149431,0.106,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149431,0.106,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149446,0.119,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149446,0.119,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149446,0.119,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149453,0.059,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149453,0.059,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149453,0.059,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149647,0.276,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149647,0.276,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149647,0.276,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149758,0.051,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149758,0.051,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149758,0.051,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149793,0.055,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149793,0.055,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149793,0.055,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149865,0.586,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149865,0.586,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149865,0.586,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149893,0.057,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149893,0.057,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149893,0.057,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149915,0.126,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149915,0.126,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149915,0.126,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149922,0.126,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149922,0.126,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149922,0.126,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",149930,0.064,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",149930,0.064,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",149930,0.064,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150042,0.098,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150042,0.098,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",150042,0.098,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150043,0.202,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150043,0.202,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",150043,0.202,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150193,0.078,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150193,0.078,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",150193,0.078,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150325,0.087,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150325,0.087,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",150325,0.087,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150413,0.071,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150413,0.071,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",150413,0.071,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150728,0.051,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150728,0.051,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",150728,0.051,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150736,0.108,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150736,0.108,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",150736,0.108,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150748,0.11,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150748,0.11,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",150748,0.11,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150763,0.061,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150763,0.061,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",150763,0.061,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150791,0.086,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150791,0.086,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
"chr1",150791,0.086,"intergenic_region","MODIFIER","ENSCHAG00000000007-cdc42ep1b","ENSCHAG00000000007-ENSCHAG00000000008",""
"chr1",150823,0.724,"downstream_gene_variant","MODIFIER","ENSCHAG00000000007","ENSCHAG00000000007","protein_coding"
"chr1",150823,0.724,"downstream_gene_variant","MODIFIER","cdc42ep1b","ENSCHAG00000000008","protein_coding"
