# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSCHAG00000026213	ENSCHAT00000062644	rRNA	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	2
DDAH1	ENSCHAG00000003298	ENSCHAT00000005779	protein_coding	0	0	0	12	0	0	0	0	9	0	0	0	0	0	0	0	0	3
ENSCHAG00000000247	ENSCHAG00000000247	ENSCHAT00000000424	scaRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000000252	ENSCHAG00000000252	ENSCHAT00000000428		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENSCHAG00000000329	ENSCHAG00000000329	ENSCHAT00000000538	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000000381	ENSCHAG00000000381	ENSCHAT00000000632	protein_coding	0	0	0	18	0	0	1	2	13	0	0	0	0	0	0	0	0	2
ENSCHAG00000000386	ENSCHAG00000000386	ENSCHAT00000000636	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000000401	ENSCHAG00000000401	ENSCHAT00000000649	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000000418	ENSCHAG00000000418	ENSCHAT00000000677	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000000440	ENSCHAG00000000440	ENSCHAT00000000713	snoRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000000477	ENSCHAG00000000477	ENSCHAT00000000779		0	0	0	11	0	0	0	8	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000000684	ENSCHAG00000000684	ENSCHAT00000001176	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000001910	protein_coding	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002234	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002350	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ENSCHAG00000000833	ENSCHAG00000000833	ENSCHAT00000002473	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0
