# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
5S_rRNA	ENSCHAG00000018938	ENSCHAT00000043766	rRNA	0	0	0	15	0	0	0	2	0	0	0	0	0	0	0	13
AOPEP	ENSCHAG00000019188	ENSCHAT00000044398	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	2
ARHGDIA	ENSCHAG00000003580	ENSCHAT00000006324	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ARHGDIA	ENSCHAG00000003580	ENSCHAT00000006362	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026443	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026462	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026482	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026505	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026548	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026579	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
AUH	ENSCHAG00000019965	ENSCHAT00000046543	protein_coding	0	0	0	8	0	0	0	1	7	0	0	0	0	0	0	0
AUH	ENSCHAG00000019965	ENSCHAT00000046560	protein_coding	0	0	0	8	0	0	0	1	7	0	0	0	0	0	0	0
BCL11B	ENSCHAG00000019184	ENSCHAT00000044354	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
CHAC1	ENSCHAG00000019129	ENSCHAT00000044229	protein_coding	0	0	0	6	2	0	3	0	0	0	0	0	0	0	0	1
CKLF	ENSCHAG00000022054	ENSCHAT00000051686	protein_coding	0	0	0	15	0	0	4	2	2	0	0	0	0	0	0	7
DIRAS2	ENSCHAG00000019934	ENSCHAT00000046311	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DLL4	ENSCHAG00000018994	ENSCHAT00000044110	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0
DLL4	ENSCHAG00000018994	ENSCHAT00000044184	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0
DLL4	ENSCHAG00000018994	ENSCHAT00000044212	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0
DNAAF5	ENSCHAG00000001351	ENSCHAT00000002333	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
DNAAF5	ENSCHAG00000001351	ENSCHAT00000002399	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
DNAAF5	ENSCHAG00000001351	ENSCHAT00000002475	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
DPYSL2	ENSCHAG00000014643	ENSCHAT00000041567	protein_coding	0	0	0	15	0	0	0	1	6	0	0	0	0	0	0	8
DPYSL2	ENSCHAG00000014643	ENSCHAT00000041628	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	1
DPYSL2	ENSCHAG00000014643	ENSCHAT00000041744	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	1
DPYSL2	ENSCHAG00000014643	ENSCHAT00000041946	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	1
DPYSL2	ENSCHAG00000014643	ENSCHAT00000041992	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	1
DPYSL2	ENSCHAG00000014643	ENSCHAT00000042167	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	1
DPYSL2	ENSCHAG00000014643	ENSCHAT00000042180	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	1
DPYSL2	ENSCHAG00000014643	ENSCHAT00000042231	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	1
DPYSL2	ENSCHAG00000014643	ENSCHAT00000042335	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	1
DPYSL2	ENSCHAG00000014643	ENSCHAT00000042376	protein_coding	0	0	0	7	0	0	0	1	5	0	0	0	0	0	0	1
EIF5	ENSCHAG00000006019	ENSCHAT00000011802	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
EIF5	ENSCHAG00000006019	ENSCHAT00000011838	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
EIF5	ENSCHAG00000006019	ENSCHAT00000011862	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
EIF5	ENSCHAG00000006019	ENSCHAT00000011875	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000000251	ENSCHAG00000000251	ENSCHAT00000000588	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000000251	ENSCHAG00000000251	ENSCHAT00000000627	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000000251	ENSCHAG00000000251	ENSCHAT00000000769	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000000251	ENSCHAG00000000251	ENSCHAT00000000794	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000000251	ENSCHAG00000000251	ENSCHAT00000000909	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000000251	ENSCHAG00000000251	ENSCHAT00000001143	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	6
ENSCHAG00000000329	ENSCHAG00000000329	ENSCHAT00000000538	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000000570	ENSCHAG00000000570	ENSCHAT00000000908		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000000955	ENSCHAG00000000955	ENSCHAT00000001530	protein_coding	0	0	0	9	0	0	0	0	6	0	0	0	0	0	0	3
ENSCHAG00000000955	ENSCHAG00000000955	ENSCHAT00000001547	protein_coding	0	0	0	9	0	0	0	1	5	0	0	0	0	0	0	3
ENSCHAG00000000955	ENSCHAG00000000955	ENSCHAT00000001570	protein_coding	0	0	0	9	0	0	0	1	5	0	0	0	0	0	0	3
ENSCHAG00000000955	ENSCHAG00000000955	ENSCHAT00000001600	protein_coding	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1
ENSCHAG00000001252	ENSCHAG00000001252	ENSCHAT00000002138	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000001252	ENSCHAG00000001252	ENSCHAT00000002210	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1
ENSCHAG00000001252	ENSCHAG00000001252	ENSCHAT00000002250	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000001284	ENSCHAG00000001284	ENSCHAT00000002002	protein_coding	0	2	6	103	0	0	0	0	103	6	0	0	0	0	2	0
ENSCHAG00000001284	ENSCHAG00000001284	ENSCHAT00000002021	protein_coding	0	2	6	103	0	0	0	0	103	6	0	0	0	0	2	0
ENSCHAG00000001284	ENSCHAG00000001284	ENSCHAT00000002089	protein_coding	0	2	6	103	0	0	0	0	103	6	0	0	0	0	2	0
ENSCHAG00000001284	ENSCHAG00000001284	ENSCHAT00000002152	protein_coding	0	2	2	107	0	0	0	0	107	2	0	0	0	0	2	0
