"chr","pos","AF","Effect","Putative_impact","Gene_name","Gene_ID","Feature type"
"chr1",3900681,0.092,"upstream_gene_variant","MODIFIER","ENSCHAG00000000251","ENSCHAG00000000251","protein_coding"
"chr1",3901170,0.052,"upstream_gene_variant","MODIFIER","ENSCHAG00000000251","ENSCHAG00000000251","protein_coding"
"chr1",3901377,0.252,"upstream_gene_variant","MODIFIER","ENSCHAG00000000251","ENSCHAG00000000251","protein_coding"
"chr1",3901463,0.101,"upstream_gene_variant","MODIFIER","ENSCHAG00000000251","ENSCHAG00000000251","protein_coding"
"chr1",3901468,0.096,"upstream_gene_variant","MODIFIER","ENSCHAG00000000251","ENSCHAG00000000251","protein_coding"
"chr1",3901473,0.096,"upstream_gene_variant","MODIFIER","ENSCHAG00000000251","ENSCHAG00000000251","protein_coding"
"chr1",3902502,0.279,"downstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3902504,0.283,"downstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3902519,0.282,"downstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3902528,0.265,"downstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3902698,0.054,"downstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3902703,0.354,"downstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3902738,0.35,"downstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3902827,0.053,"downstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3903892,0.12,"downstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3913796,0.071,"downstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3916790,0.059,"3_prime_UTR_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3939179,0.067,"upstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3939243,0.061,"upstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3939681,0.055,"upstream_gene_variant","MODIFIER","SUN1","ENSCHAG00000000998","protein_coding"
"chr1",3943641,0.323,"upstream_gene_variant","MODIFIER","ENSCHAG00000001305","ENSCHAG00000001305","pseudogene"
"chr1",3944008,0.053,"non_coding_transcript_exon_variant","MODIFIER","ENSCHAG00000001305","ENSCHAG00000001305","pseudogene"
"chr1",3948643,0.099,"upstream_gene_variant","MODIFIER","ENSCHAG00000001325","ENSCHAG00000001325","protein_coding"
"chr1",3994259,0.051,"intron_variant","MODIFIER","DNAAF5","ENSCHAG00000001351","protein_coding"
"chr1",4054722,0.056,"intron_variant","MODIFIER","prkar1b","ENSCHAG00000001567","protein_coding"
"chr1",4111333,0.098,"intergenic_region","MODIFIER","pdgfab-ENSCHAG00000001673","ENSCHAG00000001636-ENSCHAG00000001673",""
"chr1",4169135,0.102,"intergenic_region","MODIFIER","ENSCHAG00000001674-ENSCHAG00000001676","ENSCHAG00000001674-ENSCHAG00000001676",""
"chr1",4175174,0.051,"intergenic_region","MODIFIER","ENSCHAG00000001674-ENSCHAG00000001676","ENSCHAG00000001674-ENSCHAG00000001676",""
"chr1",4176572,0.065,"upstream_gene_variant","MODIFIER","ENSCHAG00000001676","ENSCHAG00000001676","protein_coding"
"chr1",4176653,0.055,"upstream_gene_variant","MODIFIER","ENSCHAG00000001676","ENSCHAG00000001676","protein_coding"
"chr1",4177846,0.067,"upstream_gene_variant","MODIFIER","ENSCHAG00000001676","ENSCHAG00000001676","protein_coding"
"chr1",4178005,0.155,"upstream_gene_variant","MODIFIER","ENSCHAG00000001676","ENSCHAG00000001676","protein_coding"
"chr1",4179223,0.065,"upstream_gene_variant","MODIFIER","ENSCHAG00000001676","ENSCHAG00000001676","protein_coding"
"chr1",4179429,0.058,"upstream_gene_variant","MODIFIER","ENSCHAG00000001676","ENSCHAG00000001676","protein_coding"
"chr1",4179626,0.154,"upstream_gene_variant","MODIFIER","ENSCHAG00000001676","ENSCHAG00000001676","protein_coding"
"chr1",4181700,0.169,"intron_variant","MODIFIER","ENSCHAG00000001676","ENSCHAG00000001676","protein_coding"
