# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADAMTSL1	ENSCHAG00000025420	ENSCHAT00000060619	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0
ADAMTSL1	ENSCHAG00000025420	ENSCHAT00000060657	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0
ADAMTSL1	ENSCHAG00000025420	ENSCHAT00000060678	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0
ADAMTSL1	ENSCHAG00000025420	ENSCHAT00000060691	protein_coding	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0
ARPC4-TTLL3	ENSCHAG00000019136	ENSCHAT00000044408	protein_coding	0	0	0	5	0	0	0	2	2	0	0	0	0	0	1
ASCL4	ENSCHAG00000026305	ENSCHAT00000062925	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026443	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026462	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026482	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026505	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026548	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ASS1	ENSCHAG00000011711	ENSCHAT00000026579	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
B3GAT1	ENSCHAG00000003898	ENSCHAT00000007122	protein_coding	0	0	0	11	0	0	0	5	0	0	0	0	0	0	6
B3GAT1	ENSCHAG00000003898	ENSCHAT00000007170	protein_coding	0	0	0	11	0	0	0	5	0	0	0	0	0	0	6
CKAP5	ENSCHAG00000009275	ENSCHAT00000019744	protein_coding	0	0	0	16	0	0	1	4	4	0	0	0	0	0	7
CKAP5	ENSCHAG00000009275	ENSCHAT00000019858	protein_coding	0	0	0	16	0	0	0	4	5	0	0	0	0	0	7
CKAP5	ENSCHAG00000009275	ENSCHAT00000019864	protein_coding	0	0	0	16	0	0	0	4	5	0	0	0	0	0	7
DGKD	ENSCHAG00000023771	ENSCHAT00000056884	protein_coding	0	0	0	14	0	0	0	7	7	0	0	0	0	0	0
DGKD	ENSCHAG00000023771	ENSCHAT00000056950	protein_coding	0	0	0	14	0	0	0	7	7	0	0	0	0	0	0
DGKD	ENSCHAG00000023771	ENSCHAT00000056982	protein_coding	0	0	0	14	0	0	0	7	7	0	0	0	0	0	0
DGKD	ENSCHAG00000023771	ENSCHAT00000057031	protein_coding	0	0	0	14	0	0	0	7	7	0	0	0	0	0	0
DGKD	ENSCHAG00000023771	ENSCHAT00000057051	protein_coding	0	0	0	14	0	0	0	7	7	0	0	0	0	0	0
DGKD	ENSCHAG00000023771	ENSCHAT00000057087	protein_coding	0	0	0	14	0	0	0	7	7	0	0	0	0	0	0
DGKD	ENSCHAG00000023771	ENSCHAT00000057175	protein_coding	0	0	0	7	0	0	0	3	4	0	0	0	0	0	0
