"chr","pos","AF","Effect","Putative_impact","Gene_name","Gene_ID","Feature type"
"chr1",21200993,0.074,"upstream_gene_variant","MODIFIER","fam117aa","ENSCHAG00000009073","protein_coding"
"chr1",21200993,0.074,"downstream_gene_variant","MODIFIER","rundc3aa","ENSCHAG00000009114","protein_coding"
"chr1",21205689,0.07,"upstream_gene_variant","MODIFIER","fam117aa","ENSCHAG00000009073","protein_coding"
"chr1",21205689,0.07,"upstream_gene_variant","MODIFIER","ENSCHAG00000009129","ENSCHAG00000009129","protein_coding"
"chr1",21205689,0.07,"upstream_gene_variant","MODIFIER","ENSCHAG00000009140","ENSCHAG00000009140","protein_coding"
"chr1",21205689,0.07,"intron_variant","MODIFIER","rundc3aa","ENSCHAG00000009114","protein_coding"
"chr1",21207123,0.065,"upstream_gene_variant","MODIFIER","fam117aa","ENSCHAG00000009073","protein_coding"
"chr1",21207123,0.065,"upstream_gene_variant","MODIFIER","ENSCHAG00000009129","ENSCHAG00000009129","protein_coding"
"chr1",21207123,0.065,"upstream_gene_variant","MODIFIER","ENSCHAG00000009140","ENSCHAG00000009140","protein_coding"
"chr1",21207123,0.065,"intron_variant","MODIFIER","rundc3aa","ENSCHAG00000009114","protein_coding"
"chr1",21207677,0.052,"upstream_gene_variant","MODIFIER","fam117aa","ENSCHAG00000009073","protein_coding"
"chr1",21207677,0.052,"upstream_gene_variant","MODIFIER","ENSCHAG00000009129","ENSCHAG00000009129","protein_coding"
"chr1",21207677,0.052,"upstream_gene_variant","MODIFIER","ENSCHAG00000009140","ENSCHAG00000009140","protein_coding"
"chr1",21207677,0.052,"intron_variant","MODIFIER","rundc3aa","ENSCHAG00000009114","protein_coding"
"chr1",21211176,0.052,"upstream_gene_variant","MODIFIER","ENSCHAG00000009169","ENSCHAG00000009169","protein_coding"
"chr1",21211176,0.052,"downstream_gene_variant","MODIFIER","ENSCHAG00000009129","ENSCHAG00000009129","protein_coding"
"chr1",21211176,0.052,"intron_variant","MODIFIER","rundc3aa","ENSCHAG00000009114","protein_coding"
"chr1",21211176,0.052,"intron_variant","MODIFIER","ENSCHAG00000009140","ENSCHAG00000009140","protein_coding"
"chr1",21211247,0.146,"upstream_gene_variant","MODIFIER","ENSCHAG00000009169","ENSCHAG00000009169","protein_coding"
"chr1",21211247,0.146,"downstream_gene_variant","MODIFIER","ENSCHAG00000009129","ENSCHAG00000009129","protein_coding"
"chr1",21211247,0.146,"intron_variant","MODIFIER","rundc3aa","ENSCHAG00000009114","protein_coding"
"chr1",21211247,0.146,"intron_variant","MODIFIER","ENSCHAG00000009140","ENSCHAG00000009140","protein_coding"
"chr1",21211383,0.056,"upstream_gene_variant","MODIFIER","ENSCHAG00000009169","ENSCHAG00000009169","protein_coding"
"chr1",21211383,0.056,"downstream_gene_variant","MODIFIER","ENSCHAG00000009129","ENSCHAG00000009129","protein_coding"
"chr1",21211383,0.056,"intron_variant","MODIFIER","rundc3aa","ENSCHAG00000009114","protein_coding"
"chr1",21211383,0.056,"intron_variant","MODIFIER","ENSCHAG00000009140","ENSCHAG00000009140","protein_coding"
"chr1",21219226,0.09,"upstream_gene_variant","MODIFIER","rnf113a","ENSCHAG00000009175","protein_coding"
"chr1",21219226,0.09,"downstream_gene_variant","MODIFIER","strada","ENSCHAG00000009246","protein_coding"
