# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABI1	ENSCHAG00000010398	ENSCHAT00000022536	protein_coding	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	4
ABI1	ENSCHAG00000010398	ENSCHAT00000022555	protein_coding	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	4
ABI1	ENSCHAG00000010398	ENSCHAT00000022566	protein_coding	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	4
ABI1	ENSCHAG00000010398	ENSCHAT00000022581	protein_coding	0	0	0	10	0	0	0	0	6	0	0	0	0	0	0	4
ARHGDIA	ENSCHAG00000003580	ENSCHAT00000006324	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ARHGDIA	ENSCHAG00000003580	ENSCHAT00000006362	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
B3GAT1	ENSCHAG00000003898	ENSCHAT00000007122	protein_coding	0	0	0	11	0	0	0	5	0	0	0	0	0	0	0	6
B3GAT1	ENSCHAG00000003898	ENSCHAT00000007170	protein_coding	0	0	0	11	0	0	0	5	0	0	0	0	0	0	0	6
DAPK2	ENSCHAG00000007717	ENSCHAT00000015959	protein_coding	0	0	0	10	0	0	0	1	5	0	0	0	0	0	0	4
DAPK2	ENSCHAG00000007717	ENSCHAT00000015988	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
DAPK2	ENSCHAG00000007717	ENSCHAT00000016034	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
DAPK2	ENSCHAG00000007717	ENSCHAT00000016097	protein_coding	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	4
DLAT	ENSCHAG00000013480	ENSCHAT00000030444	protein_coding	0	0	0	6	0	0	0	3	3	0	0	0	0	0	0	0
DLAT	ENSCHAG00000013480	ENSCHAT00000030458	protein_coding	0	0	0	6	0	0	0	3	3	0	0	0	0	0	0	0
DNAJA4	ENSCHAG00000009400	ENSCHAT00000020220	protein_coding	0	0	0	4	0	0	0	1	2	0	0	0	0	0	0	1
DYNC2H1	ENSCHAG00000022972	ENSCHAT00000054251	protein_coding	0	1	1	31	0	1	3	0	24	1	0	0	0	0	0	4
DYNC2H1	ENSCHAG00000022972	ENSCHAT00000054275	protein_coding	0	1	1	31	0	1	3	0	24	1	0	0	0	0	0	4
DYNC2H1	ENSCHAG00000022972	ENSCHAT00000054299	protein_coding	0	1	1	31	0	1	3	0	24	1	0	0	0	0	0	4
DYNC2H1	ENSCHAG00000022972	ENSCHAT00000054332	protein_coding	0	2	1	30	0	1	3	0	23	1	0	0	0	0	1	4
DYNC2H1	ENSCHAG00000022972	ENSCHAT00000054350	protein_coding	1	1	1	30	0	1	3	0	24	1	0	1	0	0	0	4
DYNC2H1	ENSCHAG00000022972	ENSCHAT00000054380	protein_coding	0	1	1	31	0	1	3	0	24	1	0	0	0	0	0	4
EFCAB2	ENSCHAG00000017495	ENSCHAT00000040347	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0
EFCAB2	ENSCHAG00000017495	ENSCHAT00000040460	protein_coding	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0
EML4	ENSCHAG00000018324	ENSCHAT00000044296	protein_coding	0	0	0	19	0	0	0	1	18	0	0	0	0	0	0	0
EML4	ENSCHAG00000018324	ENSCHAT00000044522	protein_coding	0	0	0	19	0	0	0	1	18	0	0	0	0	0	0	0
EML4	ENSCHAG00000018324	ENSCHAT00000044648	protein_coding	0	0	0	19	0	0	0	1	18	0	0	0	0	0	0	0
EML4	ENSCHAG00000018324	ENSCHAT00000044687	protein_coding	0	0	0	19	0	0	0	1	18	0	0	0	0	0	0	0
EML4	ENSCHAG00000018324	ENSCHAT00000044773	protein_coding	0	0	0	19	0	0	0	1	18	0	0	0	0	0	0	0
EML4	ENSCHAG00000018324	ENSCHAT00000044828	protein_coding	0	0	0	19	0	0	0	1	18	0	0	0	0	0	0	0
EML4	ENSCHAG00000018324	ENSCHAT00000044888	protein_coding	0	0	0	19	0	0	0	1	18	0	0	0	0	0	0	0
EML4	ENSCHAG00000018324	ENSCHAT00000045357	protein_coding	0	0	0	19	0	0	0	1	18	0	0	0	0	0	0	0
EML4	ENSCHAG00000018324	ENSCHAT00000045367	protein_coding	0	0	0	19	0	0	0	1	18	0	0	0	0	0	0	0
EML4	ENSCHAG00000018324	ENSCHAT00000045400	protein_coding	0	0	0	18	0	0	0	1	15	0	0	0	0	0	0	2
ENSCHAG00000000252	ENSCHAG00000000252	ENSCHAT00000000428		0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0
ENSCHAG00000000329	ENSCHAG00000000329	ENSCHAT00000000538	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000000422	ENSCHAG00000000422	ENSCHAT00000000680		0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0
ENSCHAG00000000458	ENSCHAG00000000458	ENSCHAT00000000752	protein_coding	0	0	0	5	0	0	0	3	1	0	0	0	0	0	0	1
ENSCHAG00000000471	ENSCHAG00000000471	ENSCHAT00000000772		0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2
ENSCHAG00000000499	ENSCHAG00000000499	ENSCHAT00000000818	protein_coding	0	0	0	8	0	0	0	6	1	0	0	0	0	0	0	1
ENSCHAG00000000570	ENSCHAG00000000570	ENSCHAT00000000908		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000000605	ENSCHAG00000000605	ENSCHAT00000000967	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000000605	ENSCHAG00000000605	ENSCHAT00000000974	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000000665	ENSCHAG00000000665	ENSCHAT00000001045	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000000676	ENSCHAG00000000676	ENSCHAT00000001069		0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSCHAG00000001500	ENSCHAG00000001500	ENSCHAT00000002498	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000001500	ENSCHAG00000001500	ENSCHAT00000002555	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003669	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003694	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003702	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003746	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000001687	ENSCHAG00000001687	ENSCHAT00000003837	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
