"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSCHAG00000000002"," fkbp10b","ENSCHAG00000000002",NA,"protein_coding","Atlantic herring",1,0.012847,"FKBP prolyl isomerase 10b [Source:ZFIN;Acc:ZDB-GENE-030131-3101]",48.15,8,12447,1698,3048,845,1340,11
"ENSCHAG00000000008"," cdc42ep1b","ENSCHAG00000000008",NA,"protein_coding","Atlantic herring",1,0.15182,"CDC42 effector protein (Rho GTPase binding) 1b [Source:ZFIN;Acc:ZDB-GENE-120215-219]",46.37,2,5013,1152,1466,NA,313,3
"ENSCHAG00000000010"," si:dkey-217f16.6","ENSCHAG00000000010",NA,"protein_coding","Atlantic herring",1,0.190832,"si:dkey-217f16.6 [Source:ZFIN;Acc:ZDB-GENE-091117-15]",48.24,1,14270,5898,7159,445,368,21
"ENSCHAG00000003639"," sox9a","ENSCHAG00000003639",NA,"protein_coding","Atlantic herring",1,16.949623,"SRY-box transcription factor 9a [Source:ZFIN;Acc:ZDB-GENE-001103-1]",54.99,1,2794,1389,1389,NA,NA,4
"ENSCHAG00000013337"," cyb561","ENSCHAG00000013337",NA,"protein_coding","Atlantic herring",1,29.342093,"cytochrome b561 [Source:ZFIN;Acc:ZDB-GENE-070713-3]",43.07,1,8654,762,1546,391,NA,6
"ENSCHAG00000013420"," tanc2a","ENSCHAG00000013420",105912837,"protein_coding","Atlantic herring",1,29.355171,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:NCBI gene;Acc:105912837]",48.13,10,94957,5937,5937,NA,NA,25
"ENSCHAG00000014899"," desi1a","ENSCHAG00000014899",105897991,"protein_coding","Atlantic herring",1,32.800682,"desumoylating isopeptidase 1-like [Source:NCBI gene;Acc:105897991]",43.48,1,5305,507,1142,558,75,6
"ENSCHAG00000014925"," ep300b","ENSCHAG00000014925",NA,"protein_coding","Atlantic herring",1,32.829136,"E1A binding protein p300 b [Source:ZFIN;Acc:ZDB-GENE-080403-15]",48.26,2,36212,8373,9515,776,364,30
"ENSCHAG00000015345"," xpnpep3","ENSCHAG00000015345",NA,"protein_coding","Atlantic herring",1,32.867284,"X-prolyl aminopeptidase 3, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040426-2076]",43.22,4,39651,1477.5,1633,NA,216,10
"ENSCHAG00000021114"," CPO","ENSCHAG00000021114",NA,"protein_coding","Atlantic herring",2,8.045864,"carboxypeptidase O [Source:HGNC Symbol;Acc:HGNC:21011]",42.58,2,120460,1093.5,1693,386,211.5,8.5
"ENSCHAG00000021405"," mnx2a","ENSCHAG00000021405",105891558,"protein_coding","Atlantic herring",2,8.227564,"motor neuron and pancreas homeobox protein 1-like [Source:NCBI gene;Acc:105891558]",43.73,1,4131,993,2675,684,996,3
"ENSCHAG00000021409"," TUBA4A","ENSCHAG00000021409",NA,"protein_coding","Atlantic herring",2,8.245862,"tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]",44.45,2,5594,1350,1988,521,115,4
"ENSCHAG00000021422"," tuba8l3","ENSCHAG00000021422",105891559,"protein_coding","Atlantic herring",2,8.253564,"tubulin alpha chain [Source:NCBI gene;Acc:105891559]",47.24,6,8990,1353,1775,275,145,4
"ENSCHAG00000021487"," dnajb2","ENSCHAG00000021487",NA,"protein_coding","Atlantic herring",2,8.263087,"DnaJ heat shock protein family (Hsp40) member B2 [Source:ZFIN;Acc:ZDB-GENE-061013-537]",43.26,1,8300,1125,1909,391,NA,10
"ENSCHAG00000021500"," ptprna","ENSCHAG00000021500",NA,"protein_coding","Atlantic herring",2,8.281379,"protein tyrosine phosphatase receptor type Na [Source:ZFIN;Acc:ZDB-GENE-030131-3511]",45.92,5,37515,2211,2216,136,NA,17
"ENSCHAG00000017704"," si:dkey-3d4.3","ENSCHAG00000017704",NA,"protein_coding","Atlantic herring",2,10.109299,"si:dkey-3d4.3 [Source:ZFIN;Acc:ZDB-GENE-070912-527]",43.85,1,14719,1254,2268,369.5,272,8
"ENSCHAG00000017712"," inhbb","ENSCHAG00000017712",105901923,"protein_coding","Atlantic herring",2,10.129788,"inhibin beta B chain-like [Source:NCBI gene;Acc:105901923]",53.14,1,7781,1194,2322,NA,1127,2
"ENSCHAG00000017978"," tfcp2l1","ENSCHAG00000017978",NA,"protein_coding","Atlantic herring",2,10.45515,"transcription factor CP2-like 1 [Source:ZFIN;Acc:ZDB-GENE-040704-58]",42.54,1,10890,1362,1362,NA,NA,13
"ENSCHAG00000018184"," clasp1a","ENSCHAG00000018184",NA,"protein_coding","Atlantic herring",2,10.473804,"cytoplasmic linker associated protein 1a [Source:ZFIN;Acc:ZDB-GENE-081104-520]",46.26,10,178111,4374,4925,550,NA,31
"ENSCHAG00000000220"," map2k1","ENSCHAG00000000220",NA,"protein_coding","Atlantic herring",3,17.633231,"mitogen-activated protein kinase kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2759]",48.07,3,20398,1185,1546,107.5,143,10
"ENSCHAG00000000584"," megf11","ENSCHAG00000000584",NA,"protein_coding","Atlantic herring",3,17.702013,"multiple EGF-like-domains 11 [Source:ZFIN;Acc:ZDB-GENE-060503-252]",48.18,6,129230,2961,2961,478,52,21.5
"ENSCHAG00000002433"," rab11a","ENSCHAG00000002433",105892497,"protein_coding","Atlantic herring",3,17.833458,"RAB11A, member RAS oncogene family [Source:NCBI gene;Acc:105892497]",44.88,7,12890,630,4521,395,3890,5
"ENSCHAG00000003270"," dennd4a","ENSCHAG00000003270",NA,"protein_coding","Atlantic herring",3,17.848662,"DENN/MADD domain containing 4A [Source:ZFIN;Acc:ZDB-GENE-060503-285]",49.98,8,53779,4965,5599,284.5,999,28
"ENSCHAG00000003677"," slc24a1","ENSCHAG00000003677",NA,"protein_coding","Atlantic herring",3,17.887509,"solute carrier family 24 member 1 [Source:ZFIN;Acc:ZDB-GENE-060503-191]",48.44,4,33052,2431.5,4032.5,175,1433,9.5
"ENSCHAG00000015799"," pdcd2l","ENSCHAG00000015799",NA,"protein_coding","Atlantic herring",3,31.550688,"programmed cell death 2-like [Source:ZFIN;Acc:ZDB-GENE-040426-967]",45.39,1,24627,1077,3890,826,152.5,15
"ENSCHAG00000015817"," banp","ENSCHAG00000015817",NA,"protein_coding","Atlantic herring",3,31.555285,"BTG3 associated nuclear protein [Source:NCBI gene;Acc:553659]",46.36,1,40007,1533,2630,157,122,14
"ENSCHAG00000009617"," camta1a","ENSCHAG00000009617",NA,"protein_coding","Atlantic herring",4,19.56472,"calmodulin binding transcription activator 1a [Source:ZFIN;Acc:ZDB-GENE-090312-183]",48.42,6,362627,5472,5556,83,NA,22.5
"ENSCHAG00000010594"," dvl1a","ENSCHAG00000010594",105894308,"protein_coding","Atlantic herring",4,19.974949,"dishevelled segment polarity protein 1 [Source:NCBI gene;Acc:105894308]",45.8,4,31899,2064,2422,357,1604,14.5
"ENSCHAG00000010132"," kcnab2a","ENSCHAG00000010132",105908072,"protein_coding","Atlantic herring",5,10.742484,"voltage-gated potassium channel subunit beta-2-like [Source:NCBI gene;Acc:105908072]",46.87,7,123200,1104,1863,648,NA,13
"ENSCHAG00000010762"," akr7a3","ENSCHAG00000010762",105908328,"protein_coding","Atlantic herring",5,11.00975,"aflatoxin B1 aldehyde reductase member 4-like [Source:NCBI gene;Acc:105908328]",42.21,1,5060,1077,2459,381,999,7
"ENSCHAG00000010790"," mrto4","ENSCHAG00000010790",105907565,"protein_coding","Atlantic herring",5,11.01245,"MRT4 homolog, ribosome maturation factor [Source:NCBI gene;Acc:105907565]",41.26,2,4790,775.5,3225,285.5,2162,7.5
"ENSCHAG00000010824"," tspan2a","ENSCHAG00000010824",105907872,"protein_coding","Atlantic herring",5,11.029151,"tetraspanin 2 [Source:NCBI gene;Acc:105907872]",45.15,1,22445,648,3573,243,2680,8
"ENSCHAG00000010850"," slc25a55a","ENSCHAG00000010850",NA,"protein_coding","Atlantic herring",5,11.054339,"solute carrier family 25 member 55a [Source:ZFIN;Acc:ZDB-GENE-040426-2745]",44.3,1,5202,1431,1878,NA,446,9
"ENSCHAG00000010920"," tshba","ENSCHAG00000010920",NA,"protein_coding","Atlantic herring",5,11.065248,"thyroid stimulating hormone subunit beta a [Source:ZFIN;Acc:ZDB-GENE-030513-3]",49.83,1,2624,453,453,NA,NA,3
"ENSCHAG00000010965"," slc5a8l","ENSCHAG00000010965",105907726,"protein_coding","Atlantic herring",5,11.070707,"sodium-coupled monocarboxylate transporter 1-like [Source:NCBI gene;Acc:105907726]",43.81,4,10255,1779,1858,78,794,13.5
"ENSCHAG00000011106"," slc16a1a","ENSCHAG00000011106",105907593,"protein_coding","Atlantic herring",5,11.098862,"monocarboxylate transporter 1-like [Source:NCBI gene;Acc:105907593]",43.46,3,11079,1374,2059,341.5,287,6
"ENSCHAG00000011957"," plekhg5a","ENSCHAG00000011957",NA,"protein_coding","Atlantic herring",5,17.048951,"pleckstrin homology domain containing, family G (with RhoGef domain) member 5a [Source:ZFIN;Acc:ZDB-GENE-060503-766]",48.03,6,59421,2515.5,6391,669.5,1649,18
"ENSCHAG00000012742"," mxra8a","ENSCHAG00000012742",105904182,"protein_coding","Atlantic herring",5,17.111146,"matrix-remodeling-associated protein 8-like [Source:NCBI gene;Acc:105904182]",48.01,2,26549,1314,4716,349,3051,9.5
"ENSCHAG00000012804"," utp3","ENSCHAG00000012804",NA,"protein_coding","Atlantic herring",5,17.199574,"UTP3 small subunit processome component [Source:ZFIN;Acc:ZDB-GENE-040912-163]",48.42,1,7204,1542,1542,NA,NA,15
"ENSCHAG00000012821"," ppcs","ENSCHAG00000012821",105904177,"protein_coding","Atlantic herring",5,17.207174,"phosphopantothenoylcysteine synthetase [Source:NCBI gene;Acc:105904177]",57.76,1,1777,960,1434,2,470,3
"ENSCHAG00000012858"," foxj3","ENSCHAG00000012858",NA,"protein_coding","Atlantic herring",5,17.242746,"forkhead box J3 [Source:ZFIN;Acc:ZDB-GENE-101005-1]",48.45,5,52306,1860,2397.5,568,NA,11
"ENSCHAG00000013065"," prdm2b","ENSCHAG00000013065",NA,"protein_coding","Atlantic herring",5,17.340183,"PR domain containing 2, with ZNF domain b [Source:ZFIN;Acc:ZDB-GENE-080613-3]",51.65,2,17637,4501.5,4501.5,NA,NA,9
"ENSCHAG00000013169"," kaznb","ENSCHAG00000013169",NA,"protein_coding","Atlantic herring",5,17.448115,"kazrin, periplakin interacting protein b [Source:ZFIN;Acc:ZDB-GENE-061215-31]",47.96,1,65318,1251,3098,NA,1846,8
"ENSCHAG00000013317"," tmem51b","ENSCHAG00000013317",NA,"protein_coding","Atlantic herring",5,17.557602,"transmembrane protein 51b [Source:ZFIN;Acc:ZDB-GENE-030131-5373]",56.14,3,2172,669,669,NA,NA,4
"ENSCHAG00000013389"," skib","ENSCHAG00000013389",NA,"protein_coding","Atlantic herring",5,17.566066,"v-ski avian sarcoma viral oncogene homolog b [Source:ZFIN;Acc:ZDB-GENE-990715-10]",47.85,1,44737,2178,2178,NA,NA,8
"ENSCHAG00000014782"," slit3","ENSCHAG00000014782",NA,"protein_coding","Atlantic herring",6,9.905168,"slit homolog 3 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-010306-4]",47.94,10,171834,4374,4486,NA,111,32
"ENSCHAG00000018407"," cxcl14","ENSCHAG00000018407",105906168,"protein_coding","Atlantic herring",6,10.117508,"C-X-C motif chemokine ligand 14 [Source:NCBI gene;Acc:105906168]",43.27,3,6401,300,1862,628,1537,4
"ENSCHAG00000018487"," fam13b","ENSCHAG00000018487",NA,"protein_coding","Atlantic herring",6,10.125451,"family with sequence similarity 13 member B [Source:ZFIN;Acc:ZDB-GENE-030131-4913]",47.03,5,51681,2064,5428,149,2670,17
"ENSCHAG00000018570"," klhl3","ENSCHAG00000018570",NA,"protein_coding","Atlantic herring",6,10.180581,"kelch-like family member 3 [Source:NCBI gene;Acc:568556]",46.79,5,15468,1827,4928,424,2473,14
"ENSCHAG00000021152"," nudt19","ENSCHAG00000021152",NA,"protein_coding","Atlantic herring",6,13.207767,"nudix (nucleoside diphosphate linked moiety X)-type motif 19 [Source:ZFIN;Acc:ZDB-GENE-081022-80]",46.14,1,2628,1254,1531,194,81,3
"ENSCHAG00000021157"," RGS9BP","ENSCHAG00000021157",NA,"protein_coding","Atlantic herring",6,13.223693,"regulator of G protein signaling 9 binding protein [Source:HGNC Symbol;Acc:HGNC:30304]",48.02,1,1138,750,750,NA,NA,2
"ENSCHAG00000021166"," si:ch211-288d18.1","ENSCHAG00000021166",NA,"protein_coding","Atlantic herring",6,13.238483,"si:ch211-288d18.1 [Source:ZFIN;Acc:ZDB-GENE-060503-323]",44.64,1,31537,1635,3818,162,1856,15
"ENSCHAG00000021269"," cpt1aa","ENSCHAG00000021269",105908106,"protein_coding","Atlantic herring",6,13.335335,"carnitine O-palmitoyltransferase 1, liver isoform-like [Source:NCBI gene;Acc:105908106]",45.52,10,10537,2299.5,3450.5,32,1117,19
"ENSCHAG00000022626"," katnb1","ENSCHAG00000022626",105908123,"protein_coding","Atlantic herring",6,13.351273,"katanin regulatory subunit B1 [Source:NCBI gene;Acc:105908123]",44.67,6,9504,1915.5,2632.5,357.5,NA,18
"ENSCHAG00000022678"," SLCO3A1","ENSCHAG00000022678",NA,"protein_coding","Atlantic herring",6,13.366465,"solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952]",44.92,1,12947,2055,2055,NA,NA,11
"ENSCHAG00000022714"," gnrhr2","ENSCHAG00000022714",NA,"protein_coding","Atlantic herring",6,13.389484,"gonadotropin releasing hormone receptor 2 [Source:ZFIN;Acc:ZDB-GENE-090128-3]",46.25,10,3709,1194,1194,NA,NA,4
"ENSCHAG00000023077"," sema4bb","ENSCHAG00000023077",NA,"protein_coding","Atlantic herring",6,13.425058,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4Bb [Source:ZFIN;Acc:ZDB-GENE-120503-1]",44.65,1,7480,2466,4253,262,1523,14
"ENSCHAG00000023132"," znf710b","ENSCHAG00000023132",NA,"protein_coding","Atlantic herring",6,13.464301,"zinc finger protein 710b [Source:ZFIN;Acc:ZDB-GENE-120503-2]",45.5,1,12893,2067,2067,NA,NA,4
"ENSCHAG00000023150"," wdr76","ENSCHAG00000023150",NA,"protein_coding","Atlantic herring",6,13.47883,"WD repeat domain 76 [Source:ZFIN;Acc:ZDB-GENE-030131-4513]",40.8,5,23191,840,1971.5,236.5,693,10
"ENSCHAG00000023250"," unc93a","ENSCHAG00000023250",105908073,"protein_coding","Atlantic herring",6,13.503555,"protein unc-93 homolog A-like [Source:NCBI gene;Acc:105908073]",42.48,1,5912,1422,1422,NA,NA,8
"ENSCHAG00000022590"," FIBCD1","ENSCHAG00000022590",NA,"protein_coding","Atlantic herring",7,2.059037,"si:dkeyp-51b7.3 [Source:ZFIN;Acc:ZDB-GENE-081105-148]",47.2,1,80092,1323,6092,140,4627,6
"ENSCHAG00000022601"," traf1","ENSCHAG00000022601",NA,"protein_coding","Atlantic herring",7,2.146578,"TNF receptor-associated factor 1 [Source:ZFIN;Acc:ZDB-GENE-071120-4]",44.42,2,14011,1627.5,2435.5,NA,807,10.5
"ENSCHAG00000022635"," phf19","ENSCHAG00000022635",NA,"protein_coding","Atlantic herring",7,2.160878,"PHD finger protein 19 [Source:ZFIN;Acc:ZDB-GENE-081105-128]",44.77,6,37129,1653,2491,234.5,402,14
"ENSCHAG00000022839"," dab2ipa","ENSCHAG00000022839",NA,"protein_coding","Atlantic herring",7,2.200729,"DAB2 interacting protein a [Source:ZFIN;Acc:ZDB-GENE-081104-516]",46.88,10,119546,3420,3733,110.5,97,17
"ENSCHAG00000025221"," fam89b","ENSCHAG00000025221",105909151,"protein_coding","Atlantic herring",8,9.093695,"family with sequence similarity 89 member B [Source:NCBI gene;Acc:105909151]",41.02,1,2471,537,2228,7,1682,2
"ENSCHAG00000025223"," si:ch211-263p13.7","ENSCHAG00000025223",NA,"protein_coding","Atlantic herring",8,9.09727,"si:ch211-263p13.7 [Source:ZFIN;Acc:ZDB-GENE-091204-336]",45.69,1,8185,1392,1684,291,NA,8
"ENSCHAG00000025233"," arr3a","ENSCHAG00000025233",NA,"protein_coding","Atlantic herring",8,9.107085,"arrestin 3a, retinal (X-arrestin) [Source:ZFIN;Acc:ZDB-GENE-040718-102]",39.85,4,6099,1020,1637,355.5,NA,12
"ENSCHAG00000025302"," arr3a","ENSCHAG00000025302",NA,"protein_coding","Atlantic herring",8,9.130401,"arrestin 3a, retinal (X-arrestin) [Source:ZFIN;Acc:ZDB-GENE-040718-102]",38.35,2,7989,1263,1884,NA,309.5,12.5
"ENSCHAG00000025331"," ncbp3","ENSCHAG00000025331",NA,"protein_coding","Atlantic herring",8,9.145163,"nuclear cap binding subunit 3 [Source:NCBI gene;Acc:393112]",42.3,2,7672,1962,3008,NA,1045,12
"ENSCHAG00000001077"," PCYOX1L","ENSCHAG00000001077",105909181,"protein_coding","Atlantic herring",8,9.160357,"prenylcysteine oxidase 1 like [Source:NCBI gene;Acc:105909181]",44.39,1,4865,1503,2075,571,NA,6
"ENSCHAG00000001105"," ATP6V0E1","ENSCHAG00000001105",105909183,"protein_coding","Atlantic herring",8,9.16842,"V-type proton ATPase subunit e 1-like [Source:NCBI gene;Acc:105909183]",38.12,1,2667,246,424,NA,177,3
"ENSCHAG00000001149"," crebrf","ENSCHAG00000001149",105909178,"protein_coding","Atlantic herring",8,9.172436,"CREB3 regulatory factor [Source:NCBI gene;Acc:105909178]",46.29,2,10589,2199,2418,218,NA,8
"ENSCHAG00000001187"," bnip1b","ENSCHAG00000001187",NA,"protein_coding","Atlantic herring",8,9.196054,"BCL2 interacting protein 1b [Source:ZFIN;Acc:ZDB-GENE-120203-6]",41.63,1,2048,768,768,NA,NA,7
"ENSCHAG00000001314"," stc2b","ENSCHAG00000001314",105909140,"protein_coding","Atlantic herring",8,9.199606,"stanniocalcin-2-like [Source:NCBI gene;Acc:105909140]",42.23,1,3307,870,2232,137,1223,4
"ENSCHAG00000001432"," CPEB4","ENSCHAG00000001432",105909171,"protein_coding","Atlantic herring",8,9.247255,"cytoplasmic polyadenylation element-binding protein 4-like [Source:NCBI gene;Acc:105909171]",44.63,7,21778,2187,2995,308,189,10
"ENSCHAG00000002874"," nsg2","ENSCHAG00000002874",105909161,"protein_coding","Atlantic herring",8,9.279213,"neuronal vesicle trafficking associated 2 [Source:NCBI gene;Acc:105909161]",43.54,1,20176,549,1869,31,1287,4
"ENSCHAG00000002919"," msx2b","ENSCHAG00000002919",NA,"protein_coding","Atlantic herring",8,9.361994,"muscle segment homeobox 2b [Source:NCBI gene;Acc:30531]",42.86,1,2092,753,1617,163,699,2
"ENSCHAG00000017570"," MSANTD2","ENSCHAG00000017570",NA,"protein_coding","Atlantic herring",8,17.847987,"Myb/SANT DNA binding domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26266]",43.14,1,6649,1761,2834,NA,1072,4
"ENSCHAG00000017582"," esama","ENSCHAG00000017582",105900373,"protein_coding","Atlantic herring",8,17.857802,"endothelial cell adhesion molecule [Source:NCBI gene;Acc:105900373]",45.52,1,41007,1275,2814,NA,1538,7
"ENSCHAG00000017591"," fez1","ENSCHAG00000017591",NA,"protein_coding","Atlantic herring",8,17.902037,"fasciculation and elongation protein zeta 1 (zygin I) [Source:ZFIN;Acc:ZDB-GENE-040426-2723]",45.62,3,9794,1167,1990,106,615,9
"ENSCHAG00000017625"," wnt11","ENSCHAG00000017625",NA,"protein_coding","Atlantic herring",8,17.982777,"wingless-type MMTV integration site family, member 11 [Source:ZFIN;Acc:ZDB-GENE-980526-249]",48.54,3,7959,981,1350,86,350,5
"ENSCHAG00000017673"," uvrag","ENSCHAG00000017673",NA,"protein_coding","Atlantic herring",8,18.010476,"UV radiation resistance associated gene [Source:ZFIN;Acc:ZDB-GENE-040426-924]",45.54,3,64696,1452,2709,256,999,13
"ENSCHAG00000017860"," dgat2","ENSCHAG00000017860",105900407,"protein_coding","Atlantic herring",8,18.076787,"diacylglycerol O-acyltransferase 2 [Source:NCBI gene;Acc:105900407]",41.29,2,10554,1105.5,2474.5,NA,1368,7.5
"ENSCHAG00000017898"," mogat2","ENSCHAG00000017898",105900371,"protein_coding","Atlantic herring",8,18.093837,"monoacylglycerol O-acyltransferase 2 [Source:NCBI gene;Acc:105900371]",43.26,1,14160,1008,1880,102,768,6
"ENSCHAG00000004497"," larp1","ENSCHAG00000004497",NA,"protein_coding","Atlantic herring",8,21.988729,"La ribonucleoprotein 1, translational regulator [Source:ZFIN;Acc:ZDB-GENE-030131-5386]",47.09,7,32086,2910,5849,87,2680,19
"ENSCHAG00000006091"," zgc:56585","ENSCHAG00000006091",105890525,"protein_coding","Atlantic herring",8,22.027911,"15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like [Source:NCBI gene;Acc:105890525]",44.27,1,7509,801,1132,166,163,7
"ENSCHAG00000006171"," or108-3","ENSCHAG00000006171",105890462,"protein_coding","Atlantic herring",8,22.052693,"olfactory receptor 508-like [Source:NCBI gene;Acc:105890462]",43.99,1,1456,984,984,NA,NA,3
"ENSCHAG00000006231"," smyd4","ENSCHAG00000006231",105890520,"protein_coding","Atlantic herring",8,22.100599,"SET and MYND domain containing 4 [Source:NCBI gene;Acc:105890520]",50.54,1,6370,2415,2692,123,152,10
"ENSCHAG00000006476"," pitx1","ENSCHAG00000006476",105890518,"protein_coding","Atlantic herring",8,22.272472,"paired like homeodomain 1 [Source:NCBI gene;Acc:105890518]",43.2,6,9408,930,1045,31.5,114,3.5
