"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSCHAG00000000998"," SUN1","ENSCHAG00000000998",NA,"protein_coding","Atlantic herring",1,3.906306,"Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18587]",48.9,4,32152,2985,3075,11,999,21.5
"ENSCHAG00000001351"," DNAAF5","ENSCHAG00000001351",NA,"protein_coding","Atlantic herring",1,3.958564,"dynein axonemal assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:26013]",49.16,3,41666,2505,3946,532,925,13
"ENSCHAG00000001567"," prkar1b","ENSCHAG00000001567",NA,"protein_coding","Atlantic herring",1,4.001075,"protein kinase, cAMP-dependent, regulatory, type I, beta [Source:ZFIN;Acc:ZDB-GENE-060929-580]",49.25,2,67968,1140,1744,11,591,7.5
"ENSCHAG00000001692"," trap1","ENSCHAG00000001692",NA,"protein_coding","Atlantic herring",1,4.187718,"TNF receptor-associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4257]",45.81,2,10102,2157,3479,107,1213,18.5
"ENSCHAG00000001810"," ubald1b","ENSCHAG00000001810",105907870,"protein_coding","Atlantic herring",1,4.201723,"UBA-like domain-containing protein 1 [Source:NCBI gene;Acc:105907870]",42.18,1,14382,453,2475,949,1071,3
"ENSCHAG00000024643"," igsf3","ENSCHAG00000024643",NA,"protein_coding","Atlantic herring",2,12.104918,"immunoglobulin superfamily, member 3 [Source:ZFIN;Acc:ZDB-GENE-070912-243]",48.86,1,118759,3102,4083,NA,980,12
"ENSCHAG00000010958"," MAF","ENSCHAG00000010958",105895642,"protein_coding","Atlantic herring",3,3.329415,"transcription factor Maf-like [Source:NCBI gene;Acc:105895642]",42.54,1,9501,996,1562,415,149,2
"ENSCHAG00000027642"," samd11","ENSCHAG00000027642",NA,"protein_coding","Atlantic herring",4,14.937961,"sterile alpha motif domain containing 11 [Source:ZFIN;Acc:ZDB-GENE-060428-2]",49.44,4,61624,2181,3354,19,698,12
"ENSCHAG00000027649"," rerea","ENSCHAG00000027649",NA,"protein_coding","Atlantic herring",4,15.052593,"arginine-glutamic acid dipeptide (RE) repeats a [Source:ZFIN;Acc:ZDB-GENE-060718-1]",48.22,3,159216,5004,8058,143,2429,20
"ENSCHAG00000027659"," eno1a","ENSCHAG00000027659",105899007,"protein_coding","Atlantic herring",4,15.216939,"enolase 1 [Source:NCBI gene;Acc:105899007]",43.05,7,11613,1299,2464,423,445,11
