"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSCHAG00000015461"," RBFOX3","ENSCHAG00000015461",NA,"protein_coding","Atlantic herring",1,15.952164,"RNA binding fox-1 homolog 3 [Source:HGNC Symbol;Acc:HGNC:27097]",46.24,2,147077,1146,1146,NA,NA,11.5
"ENSCHAG00000014899"," desi1a","ENSCHAG00000014899",105897991,"protein_coding","Atlantic herring",1,32.800682,"desumoylating isopeptidase 1-like [Source:NCBI gene;Acc:105897991]",43.48,1,5305,507,1142,558,75,6
"ENSCHAG00000014912"," ","ENSCHAG00000014912",NA,"protein_coding","Atlantic herring",1,32.822009,"chromobox homolog 7a [Source:ZFIN;Acc:ZDB-GENE-050417-400]",48.05,1,4719,1473,1473,NA,NA,5
"ENSCHAG00000014925"," ep300b","ENSCHAG00000014925",NA,"protein_coding","Atlantic herring",1,32.829136,"E1A binding protein p300 b [Source:ZFIN;Acc:ZDB-GENE-080403-15]",48.26,2,36212,8373,9515,776,364,30
"ENSCHAG00000015345"," xpnpep3","ENSCHAG00000015345",NA,"protein_coding","Atlantic herring",1,32.867284,"X-prolyl aminopeptidase 3, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040426-2076]",43.22,4,39651,1477.5,1633,NA,216,10
"ENSCHAG00000007207"," jagn1a","ENSCHAG00000007207",105911461,"protein_coding","Atlantic herring",2,4.101337,"protein jagunal homolog 1-A-like [Source:NCBI gene;Acc:105911461]",53.36,1,1086,570,570,NA,NA,2
"ENSCHAG00000007226"," tfg","ENSCHAG00000007226",NA,"protein_coding","Atlantic herring",2,4.105825,"trafficking from ER to golgi regulator [Source:ZFIN;Acc:ZDB-GENE-030131-8410]",48.23,2,18037,1299,2182,136,608,7.5
"ENSCHAG00000007325"," tspearb","ENSCHAG00000007325",NA,"protein_coding","Atlantic herring",2,4.247251,"thrombospondin-type laminin G domain and EAR repeats b [Source:ZFIN;Acc:ZDB-GENE-030131-4270]",44.14,1,8672,1287,1287,NA,NA,7
"ENSCHAG00000001225"," chid1","ENSCHAG00000001225",105904233,"protein_coding","Atlantic herring",3,13.444132,"chitinase domain containing 1 [Source:NCBI gene;Acc:105904233]",46.91,3,11357,1152,1689,93,442,11
"ENSCHAG00000001860"," ","ENSCHAG00000001860",105904234,"protein_coding","Atlantic herring",3,13.507163,"glutamine amidotransferase like class 1 domain containing 1 [Source:NCBI gene;Acc:105904234]",48,2,5836,696,1644,NA,366.5,6.5
"ENSCHAG00000001904"," cd151","ENSCHAG00000001904",105904239,"protein_coding","Atlantic herring",3,13.513847,"CD151 antigen-like [Source:NCBI gene;Acc:105904239]",48.51,4,18573,777,1243,0,464,7
"ENSCHAG00000002069"," myrf","ENSCHAG00000002069",NA,"protein_coding","Atlantic herring",3,13.578797,"myelin regulatory factor [Source:ZFIN;Acc:ZDB-GENE-080204-57]",47.37,4,42589,2079,2483,565,265,14.5
