"","CHROM","midPos","fst","nloci","p","pop"
"1","chr1",25000,0.0091225187947867,7,1,"SS06_SS17"
"2","chr1",75000,0.00856273035330966,4,1,"SS06_SS17"
"3","chr1",125000,0.0084251283001649,15,1,"SS06_SS17"
"4","chr1",175000,0.00648584696634275,57,1,"SS06_SS17"
"5","chr1",225000,0.00932127346047867,26,1,"SS06_SS17"
"6","chr1",275000,0.0110969210635943,39,1,"SS06_SS17"
"7","chr1",325000,0.00967679801063406,60,1,"SS06_SS17"
"8","chr1",375000,0.0134615526428446,30,1,"SS06_SS17"
"9","chr1",425000,0.0110326043215446,15,1,"SS06_SS17"
"10","chr1",475000,0.00995667652685302,12,1,"SS06_SS17"
"11","chr1",525000,0.0101726623945902,14,1,"SS06_SS17"
"12","chr1",575000,0.00885140055146651,7,1,"SS06_SS17"
"13","chr1",625000,0.00520634551649105,7,1,"SS06_SS17"
"14","chr1",675000,0.00861253051429517,5,1,"SS06_SS17"
"15","chr1",725000,0.0149811001590974,26,1,"SS06_SS17"
"16","chr1",775000,0.0123697520893916,41,1,"SS06_SS17"
"17","chr1",825000,0.0139773353649664,12,1,"SS06_SS17"
"18","chr1",875000,-0.000163781590949177,2,1,"SS06_SS17"
"19","chr1",925000,0.011251426149048,25,1,"SS06_SS17"
"20","chr1",975000,0.00953395460002153,40,1,"SS06_SS17"
"21","chr1",1025000,0.0120677926826547,25,1,"SS06_SS17"
"22","chr1",1075000,0.000726610410873967,1,1,"SS06_SS17"
"23","chr1",1125000,0.00746414517254835,30,1,"SS06_SS17"
"24","chr1",1225000,0.00899309038823649,15,1,"SS06_SS17"
"25","chr1",1275000,0.00896221942304557,35,1,"SS06_SS17"
"26","chr1",1325000,0.0104560976633715,32,1,"SS06_SS17"
"27","chr1",1375000,-0.00093606559225885,1,1,"SS06_SS17"
"28","chr1",1425000,0.0112019233553483,9,1,"SS06_SS17"
"29","chr1",1475000,0.00635518660673406,10,1,"SS06_SS17"
"30","chr1",1525000,0.00842886771617653,31,1,"SS06_SS17"
"31","chr1",1575000,0.0106274659764797,17,1,"SS06_SS17"
"32","chr1",1625000,0.0135304669937704,15,1,"SS06_SS17"
"33","chr1",1675000,0.00946943039343787,40,1,"SS06_SS17"
"34","chr1",1725000,0.0182135736394554,11,1,"SS06_SS17"
"35","chr1",1775000,0.0284956364362299,10,1,"SS06_SS17"
"36","chr1",1825000,0.00793250146598049,71,1,"SS06_SS17"
"37","chr1",1875000,0.00856507876787201,79,1,"SS06_SS17"
"38","chr1",1925000,0.010746666449394,43,1,"SS06_SS17"
"39","chr1",1975000,0.00877518526171355,51,1,"SS06_SS17"
"40","chr1",2025000,0.00962909318442357,41,1,"SS06_SS17"
"41","chr1",2075000,0.0114379748289304,33,1,"SS06_SS17"
"42","chr1",2125000,0.00801457345128729,22,1,"SS06_SS17"
"43","chr1",2175000,0.00971514399382418,13,1,"SS06_SS17"
"44","chr1",2225000,0.00945692291917147,12,1,"SS06_SS17"
"45","chr1",2275000,0.00441609627173908,4,1,"SS06_SS17"
"46","chr1",2375000,0.0151736022014387,5,1,"SS06_SS17"
