"","CHROM","midPos","fst","nloci","p","pop"
"1","chr1",25000,0.00577161827147233,7,1,"SS06_SS96"
"2","chr1",75000,0.00881151381888026,4,1,"SS06_SS96"
"3","chr1",125000,0.0100254900173656,15,1,"SS06_SS96"
"4","chr1",175000,0.00608055471424436,57,1,"SS06_SS96"
"5","chr1",225000,0.00852689701064185,26,1,"SS06_SS96"
"6","chr1",275000,0.0137076498827614,39,1,"SS06_SS96"
"7","chr1",325000,0.00741350234417375,60,1,"SS06_SS96"
"8","chr1",375000,0.011176727544073,30,1,"SS06_SS96"
"9","chr1",425000,0.0138000759600967,15,1,"SS06_SS96"
"10","chr1",475000,0.0055229197184964,12,1,"SS06_SS96"
"11","chr1",525000,0.00737325625034935,14,1,"SS06_SS96"
"12","chr1",575000,0.00759606334180237,7,1,"SS06_SS96"
"13","chr1",625000,0.00591498811618122,7,1,"SS06_SS96"
"14","chr1",675000,0.00458362060318416,5,1,"SS06_SS96"
"15","chr1",725000,0.00877261702233376,26,1,"SS06_SS96"
"16","chr1",775000,0.0101810759195561,41,1,"SS06_SS96"
"17","chr1",825000,0.0126286422421792,12,1,"SS06_SS96"
"18","chr1",875000,0.000300802668172439,2,1,"SS06_SS96"
"19","chr1",925000,0.00536169800737219,25,1,"SS06_SS96"
"20","chr1",975000,0.0112525421240132,40,1,"SS06_SS96"
"21","chr1",1025000,0.0085193695811049,25,1,"SS06_SS96"
"22","chr1",1075000,0.00266365938369149,1,1,"SS06_SS96"
"23","chr1",1125000,0.00673889826604099,30,1,"SS06_SS96"
"24","chr1",1225000,0.00635887947832798,15,1,"SS06_SS96"
"25","chr1",1275000,0.00592687561800091,35,1,"SS06_SS96"
"26","chr1",1325000,0.0056444178394257,32,1,"SS06_SS96"
"27","chr1",1375000,0.0269057878621486,1,1,"SS06_SS96"
"28","chr1",1425000,0.00684382804566039,9,1,"SS06_SS96"
"29","chr1",1475000,0.00714839196479401,10,1,"SS06_SS96"
"30","chr1",1525000,0.0102903380862189,31,1,"SS06_SS96"
"31","chr1",1575000,0.010777624186014,17,1,"SS06_SS96"
"32","chr1",1625000,0.0110710052427939,15,1,"SS06_SS96"
"33","chr1",1675000,0.00721156520226813,40,1,"SS06_SS96"
"34","chr1",1725000,0.00842753689427872,11,1,"SS06_SS96"
"35","chr1",1775000,0.00487208961181999,10,1,"SS06_SS96"
"36","chr1",1825000,0.00818610312847252,71,1,"SS06_SS96"
"37","chr1",1875000,0.00737965301706093,79,1,"SS06_SS96"
"38","chr1",1925000,0.0072158744057698,43,1,"SS06_SS96"
"39","chr1",1975000,0.0112182510221559,51,1,"SS06_SS96"
"40","chr1",2025000,0.00986710067212055,41,1,"SS06_SS96"
"41","chr1",2075000,0.00885870640011098,33,1,"SS06_SS96"
"42","chr1",2125000,0.00637809856865481,22,1,"SS06_SS96"
"43","chr1",2175000,0.0113834079887462,13,1,"SS06_SS96"
"44","chr1",2225000,0.00786241777354884,12,1,"SS06_SS96"
"45","chr1",2275000,0.00459277125325018,4,1,"SS06_SS96"
"46","chr1",2375000,0.00743803632646977,5,1,"SS06_SS96"
"47","chr1",2425000,0.0106991094282556,13,1,"SS06_SS96"
"48","chr1",2475000,0.00886365077501966,21,1,"SS06_SS96"
"49","chr1",2525000,0.00660420149934016,34,1,"SS06_SS96"
"50","chr1",2575000,0.0143846598896757,38,1,"SS06_SS96"
"51","chr1",2625000,0.00777473497586027,136,1,"SS06_SS96"
"52","chr1",2675000,0.0117207176542965,52,1,"SS06_SS96"
"53","chr1",2725000,0.0176214460785023,16,1,"SS06_SS96"
"54","chr1",2775000,0.0170460533112254,11,1,"SS06_SS96"
"55","chr1",2825000,0.00512828788732771,29,1,"SS06_SS96"
"56","chr1",2875000,0.0111332708341118,15,1,"SS06_SS96"
"57","chr1",2925000,0.0117803260596705,23,1,"SS06_SS96"
"58","chr1",2975000,0.0072069155771724,38,1,"SS06_SS96"
"59","chr1",3025000,0.00629961548930519,48,1,"SS06_SS96"
"60","chr1",3075000,0.00735141773730961,49,1,"SS06_SS96"
"61","chr1",3125000,0.00797779985014649,29,1,"SS06_SS96"
"62","chr1",3175000,0.00678877466586258,16,1,"SS06_SS96"
"63","chr1",3225000,0.00940800470791518,5,1,"SS06_SS96"
"64","chr1",3275000,0.00839584029964835,19,1,"SS06_SS96"
"65","chr1",3325000,0.0163519159595678,12,1,"SS06_SS96"
"66","chr1",3375000,0.00981243886564267,17,1,"SS06_SS96"
"67","chr1",3425000,0.0104623568481664,13,1,"SS06_SS96"
"68","chr1",3475000,0.0183745639544845,20,1,"SS06_SS96"
"69","chr1",3525000,0.00799143904038545,19,1,"SS06_SS96"
"70","chr1",3575000,0.0115999363366196,11,1,"SS06_SS96"
"71","chr1",3625000,0.00958311175429573,7,1,"SS06_SS96"
