"","CHROM","midPos","fst","nloci","p","pop"
"1","chr1",25000,0.0138359621518658,7,1,"TB06_TB17"
"2","chr1",75000,0.00913429354984992,4,1,"TB06_TB17"
"3","chr1",125000,0.00495445933237015,15,1,"TB06_TB17"
"4","chr1",175000,0.00800707666685072,57,1,"TB06_TB17"
"5","chr1",225000,0.0072883808234798,26,1,"TB06_TB17"
"6","chr1",275000,0.00875953103643946,39,1,"TB06_TB17"
"7","chr1",325000,0.0124986841741362,60,1,"TB06_TB17"
"8","chr1",375000,0.00735890065386389,30,1,"TB06_TB17"
"9","chr1",425000,0.0234039614563053,15,1,"TB06_TB17"
"10","chr1",475000,0.020075883337215,12,1,"TB06_TB17"
"11","chr1",525000,0.00556520503641907,14,1,"TB06_TB17"
"12","chr1",575000,0.0243352853072884,7,1,"TB06_TB17"
"13","chr1",625000,0.00257431555439159,7,1,"TB06_TB17"
"14","chr1",675000,0.0049136700630377,5,1,"TB06_TB17"
"15","chr1",725000,0.00697234143468642,26,1,"TB06_TB17"
"16","chr1",775000,0.00925718546917732,41,1,"TB06_TB17"
"17","chr1",825000,0.00712073572873837,12,1,"TB06_TB17"
"18","chr1",875000,0.00565265574588958,2,1,"TB06_TB17"
"19","chr1",925000,0.0100440425211917,25,1,"TB06_TB17"
"20","chr1",975000,0.00711175049191138,40,1,"TB06_TB17"
"21","chr1",1025000,0.00439221743909584,25,1,"TB06_TB17"
"22","chr1",1075000,0.0287382409566892,1,1,"TB06_TB17"
"23","chr1",1125000,0.00737879794031361,30,1,"TB06_TB17"
"24","chr1",1225000,0.00718315052009599,15,1,"TB06_TB17"
"25","chr1",1275000,0.00903236999654309,35,1,"TB06_TB17"
"26","chr1",1325000,0.0108335879761708,32,1,"TB06_TB17"
"27","chr1",1375000,0.0116486390110543,1,1,"TB06_TB17"
"28","chr1",1425000,0.00869478099002268,9,1,"TB06_TB17"
"29","chr1",1475000,0.00263655496727942,10,1,"TB06_TB17"
"30","chr1",1525000,0.0161824280757927,31,1,"TB06_TB17"
